Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.04_09.01.39.882,16.60762093,49.20040084,3,T-Mobile_CZ,23001,2.30012E+14,,605301,22,24606,4G,4G,-81,-11,2.0,-,-50,1579,-1,-1,321,0,-2,25,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,1,16,93C75,601E,154957078,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,1,1,,,,,,,,,4G,,,,21,6200,-68,-7,,,4G,,,,424,6200,-82,-13,,,4G,,,,212,6200,-82,-17,,,4G,,,,455,6200,-83,-17,,,4G,,,,294,500,-85,-12,,,4G,,,,494,500,-88,-12,,,4G,,,,395,1579,-89,-18,,,4G,,,,428,1579,-90,-17,,,4G,,,,20,500,-90,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.24.324,16.60767578,49.20063804,19,T-Mobile_CZ,23001,2.30012E+14,,605301,22,24606,4G,4G,-79,-12,2.0,-,-47,1579,-1,-1,321,284,282,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,44,16,93C75,601E,154957078,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,43,,,,,,,,,4G,,,,21,6200,-73,-9,,,4G,,,,424,6200,-79,-13,,,4G,,,,428,1579,-82,-13,,,4G,,,,395,1579,-85,-18,,,4G,,,,212,6200,-85,-20,,,4G,,,,455,6200,-86,-17,,,4G,,,,494,500,-87,-11,,,4G,,,,20,500,-87,-15,,,4G,,,,294,500,-88,-11,,,4G,,,,469,500,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.28.281,16.60760656,49.20091515,32,T-Mobile_CZ,23001,2.30012E+14,,605301,22,24606,4G,4G,-72,-14,2.0,-,-38,1579,-1,-1,321,283,281,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,48,16,93C75,601E,154957078,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,47,,,,,,,,,4G,,,,21,6200,-72,-10,,,4G,,,,395,1579,-79,-19,,,4G,,,,455,6200,-81,-17,,,4G,,,,294,500,-81,-8,,,4G,,,,424,6200,-83,-15,,,4G,,,,428,1579,-84,-19,,,4G,,,,212,6200,-84,-20,,,4G,,,,20,500,-84,-15,,,4G,,,,494,500,-92,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.31.284,16.60753643,49.20119953,41,T-Mobile_CZ,23001,2.30012E+14,,605301,22,24606,4G,4G,-71,-10,2.0,-,-41,1579,-1,-1,321,281,279,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,51,16,93C75,601E,154957078,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,1,50,,,,,,,,,4G,,,,21,6200,-71,-9,,,4G,,,,395,1579,-76,-17,,,4G,,,,424,6200,-78,-16,,,4G,,,,317,1579,-79,-18,,,4G,,,,294,500,-79,-10,,,4G,,,,455,6200,-80,-19,,,4G,,,,212,6200,-84,-20,,,4G,,,,428,1579,-85,-20,,,4G,,,,20,500,-86,-15,,,4G,,,,494,500,-88,-14,,,4G,,,,293,500,-92,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.34.285,16.60744366,49.20151241,41,T-Mobile_CZ,23001,2.30012E+14,,605301,22,24606,4G,4G,-74,-12,2.0,-,-42,1579,-1,-1,321,283,281,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,54,16,93C75,601E,154957078,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,53,,,,,,,,,4G,,,,21,6200,-67,-7,,,4G,,,,455,6200,-73,-17,,,4G,,,,424,6200,-78,-16,,,4G,,,,294,500,-78,-12,,,4G,,,,20,6200,-81,-20,,,4G,,,,317,1579,-82,-15,,,4G,,,,20,500,-82,-17,,,4G,,,,212,6200,-84,-20,,,4G,,,,494,500,-88,-14,,,4G,,,,293,500,-91,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.37.295,16.6073967,49.20181641,39,T-Mobile_CZ,23001,2.30012E+14,,605301,22,24606,4G,4G,-80,-14,2.0,-,-46,1579,-1,-1,321,278,276,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,57,16,93C75,601E,154957078,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,56,,,,,,,,,4G,,,,21,6200,-69,-10,,,4G,,,,20,6200,-77,-17,,,4G,,,,293,500,-79,-12,,,4G,,,,317,1579,-81,-14,,,4G,,,,294,500,-81,-14,,,4G,,,,455,6200,-87,-16,,,4G,,,,494,500,-88,-14,,,4G,,,,20,500,-90,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.39.101,16.60737654,49.20191094,37,T-Mobile_CZ,23001,2.30012E+14,,605301,23,24606,4G,4G,-76,-13,2.0,-,-43,1579,-1,-1,317,278,276,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24606-605301-22-1579-321:230-01-24606-605301-23-1579-317,,,58,17,93C75,601E,154957079,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,58,,,,,,,,,4G,,,,21,6200,-66,-10,,,4G,,,,321,1579,-78,-13,,,4G,,,,294,500,-78,-10,,,4G,,,,293,500,-82,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.40.273,16.60733,49.20207617,32,T-Mobile_CZ,23001,2.30012E+14,,605301,23,24606,4G,4G,-76,-13,2.0,-,-43,1579,-1,-1,317,277,275,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,2,17,93C75,601E,154957079,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,59,,,,,,,,,4G,,,,21,6200,-66,-10,,,4G,,,,321,1579,-78,-13,,,4G,,,,294,500,-78,-10,,,4G,,,,293,500,-82,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.43.281,16.60726149,49.20231003,31,T-Mobile_CZ,23001,2.30012E+14,,605301,23,24606,4G,4G,-78,-12,2.0,-,-46,1579,-1,-1,317,276,274,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,5,17,93C75,601E,154957079,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,62,,,,,,,,,4G,,,,20,6200,-76,-11,,,4G,,,,321,1579,-79,-17,,,4G,,,,293,500,-80,-12,,,4G,,,,294,500,-88,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.47.288,16.60717789,49.20257532,25,T-Mobile_CZ,23001,2.30012E+14,,605301,23,24606,4G,4G,-76,-11,2.0,-,-45,1579,-1,-1,317,276,274,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,8,17,93C75,601E,154957079,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,65,,,,,,,,,4G,,,,20,6200,-69,-8,,,4G,,,,293,500,-75,-9,,,4G,,,,321,1579,-82,-18,,,4G,,,,21,6200,-82,-20,,,4G,,,,294,500,-83,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
