Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.04_09.01.39.882,16.60762093,49.20040084,3,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-79,-10,20.0,-,-49,1849,3,189,288,0,-2,25,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,,,,,,1,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,289,1849,-91,-19,,,4G,,,,176,1849,-92,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.24.324,16.60767578,49.20063804,19,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-70,-11,20.0,-,-39,1849,0,22,288,284,282,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,44,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,1,43,,,,,,,,,4G,,,,289,1849,-87,-17,,,4G,,,,176,1849,-88,-19,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.28.281,16.60760656,49.20091515,32,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-77,-12,20.0,-,-45,1849,0,13,288,283,281,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,48,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,1,47,,,,,,,,,4G,,,,176,1849,-76,-17,,,4G,,,,289,1849,-78,-19,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.31.284,16.60753643,49.20119953,41,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-81,-11,20.0,-,-50,1849,0,24,288,281,279,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,51,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,50,,,,,,,,,4G,,,,289,1849,-85,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.34.285,16.60744366,49.20151241,41,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-85,-11,20.0,-,-54,1849,1,67,288,283,281,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,54,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,1,53,,,,,,,,,4G,,,,484,1849,-86,-13,,,4G,,,,289,1849,-93,-18,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.37.295,16.6073967,49.20181641,39,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-81,-12,20.0,-,-49,1849,1,129,288,278,276,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,57,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,56,,,,,,,,,4G,,,,289,1849,-91,-20,,,4G,,,,484,1849,-94,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.40.273,16.60733,49.20207617,32,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-81,-12,20.0,-,-49,1849,0,86,288,277,275,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,2,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,1,59,,,,,,,,,4G,,,,289,1849,-91,-20,,,4G,,,,484,1849,-94,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.43.281,16.60726149,49.20231003,31,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-80,-14,20.0,-,-46,1849,0,39,288,276,274,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,5,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,62,,,,,,,,,4G,,,,484,1849,-84,-18,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.47.288,16.60717789,49.20257532,25,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-82,-14,20.0,-,-48,1849,0,32,288,276,274,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,8,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,1,65,,,,,,,,,4G,,,,484,1849,-87,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.02.52.289,16.60710584,49.20281216,10,Vodafone_CZ,23003,2.30034E+14,,2396,1,38023,4G,4G,-87,-13,20.0,-,-54,1849,1,68,288,275,273,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.114.107.199,1,,,,,13,1,95C,9487,613377,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,96,NEPRAVDA,,PRAVDA,0,0,70,,,,,,,,,4G,,,,484,1849,-94,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,998,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,994,-113,,,,2G,,,,,986,-113,,,,2G,,,,,984,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
