Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.14_16.52.33.121,16.60424981,49.17730314,4,T-Mobile_CZ,23001,2.30012E+14,,601241,22,24606,4G,4G,-76,-14,6.0,-,-42,1579,1,118,352,255,253,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,2,,,,,9,16,92C99,601E,153917718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,2,0,,,,,,,,,4G,,,,380,1579,-75,-14,,,4G,,,,487,3050,-77,-8,,,4G,,,,191,500,-79,-14,,,4G,,,,378,1579,-80,-18,,,4G,,,,359,1579,-80,-18,,,4G,,,,355,500,-81,-16,,,4G,,,,482,3050,-83,-10,,,4G,,,,365,1579,-85,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.52.34.689,16.60424981,49.17730314,4,T-Mobile_CZ,23001,2.30012E+14,,601201,21,24646,4G,4G,-61,-9,6.0,-,-32,1579,0,22,380,255,253,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,,CELL_RESELECTION_4G4G,230-01-24606-601241-22-1579-352:230-01-24646-601201-21-1579-380,,,10,15,92C71,6046,153907477,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,0,1,,,,,,,,,4G,,,,355,500,-63,-7,,,4G,,,,378,1579,-71,-18,,,4G,,,,487,3050,-74,-9,,,4G,,,,482,3050,-74,-11,,,4G,,,,352,1579,-75,-18,,,4G,,,,191,500,-79,-20,,,4G,,,,348,500,-80,-20,,,4G,,,,197,500,-82,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.52.44.084,16.60393965,49.17744145,3,T-Mobile_CZ,23001,2.30012E+14,,601201,21,24646,4G,4G,-61,-9,6.0,-,-32,1579,0,38,380,255,253,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,1,,,,,10,15,92C71,6046,153907477,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,3,11,,,,,,,,,4G,,,,355,500,-63,-7,,,4G,,,,378,1579,-71,-18,,,4G,,,,487,3050,-74,-9,,,4G,,,,482,3050,-74,-11,,,4G,,,,352,1579,-75,-18,,,4G,,,,191,500,-79,-20,,,4G,,,,348,500,-80,-20,,,4G,,,,197,500,-82,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.53.37.163,16.60393965,49.17744145,3,T-Mobile_CZ,23001,2.30012E+14,,601241,22,24606,4G,4G,-71,-13,0.0,-,-38,1579,0,33,352,255,253,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,,CELL_RESELECTION_4G4G,230-01-24646-601201-21-1579-380:230-01-24606-601241-22-1579-352,,,60,16,92C99,601E,153917718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,0,1,,,,,,,,,4G,,,,482,3050,-70,-13,,,4G,,,,487,3050,-72,-14,,,4G,,,,355,500,-73,-8,,,4G,,,,380,1579,-74,-14,,,4G,,,,378,1579,-77,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.53.47.592,16.60393965,49.17744145,3,T-Mobile_CZ,23001,2.30012E+14,,601201,21,24646,4G,4G,-68,-10,2.0,-,-38,1579,0,42,380,255,253,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24606-601241-22-1579-352:230-01-24646-601201-21-1579-380,,,10,15,92C71,6046,153907477,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,0,7,,,,,,,,,4G,,,,487,3050,-71,-9,,,4G,,,,355,500,-75,-10,,,4G,,,,352,1579,-76,-12,,,4G,,,,482,3050,-77,-16,,,4G,,,,378,1579,-78,-19,,,4G,,,,191,500,-79,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.54.07.061,16.6036157,49.17754348,5,T-Mobile_CZ,23001,2.30012E+14,,601201,21,24646,4G,4G,-73,-12,5.0,-,-41,1579,0,14,380,251,249,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,0,,,,,19,15,92C71,6046,153907477,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,2,4,,,,,,,,,4G,,,,487,3050,-72,-12,,,4G,,,,355,500,-73,-7,,,4G,,,,352,1579,-74,-14,,,4G,,,,191,500,-75,-9,,,4G,,,,482,3050,-77,-15,,,4G,,,,484,3050,-84,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.54.29.057,16.60326053,49.17755864,5,T-Mobile_CZ,23001,2.30012E+14,,601201,21,24646,4G,4G,-72,-13,4.0,-,-39,1579,3,5,380,249,247,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,1,,,,,40,15,92C71,6046,153907477,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,3,7,,,,,,,,,4G,,,,355,500,-72,-11,,,4G,,,,352,1579,-74,-14,,,4G,,,,482,3050,-75,-14,,,4G,,,,191,500,-77,-16,,,4G,,,,171,1579,-78,-20,,,4G,,,,487,3050,-79,-16,,,4G,,,,378,1579,-81,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.54.29.404,16.60326053,49.17755864,5,T-Mobile_CZ,23001,2.30012E+14,,601241,22,24606,4G,4G,-69,-14,4.0,-,-35,1579,0,10,352,249,247,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24646-601201-21-1579-380:230-01-24606-601241-22-1579-352,,,40,16,92C99,601E,153917718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,0,7,,,,,,,,,4G,,,,482,3050,-73,-14,,,4G,,,,380,1579,-74,-13,,,4G,,,,191,500,-74,-12,,,4G,,,,355,500,-75,-11,,,4G,,,,487,3050,-76,-16,,,4G,,,,378,1579,-77,-17,,,4G,,,,348,500,-80,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.54.39.862,16.60326053,49.17755864,5,T-Mobile_CZ,23001,2.30012E+14,,601201,21,24646,4G,4G,-66,-12,0.0,-,-34,1579,0,31,380,249,247,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,,CELL_RESELECTION_4G4G,230-01-24606-601241-22-1579-352:230-01-24646-601201-21-1579-380,,,10,15,92C71,6046,153907477,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,0,17,,,,,,,,,4G,,,,487,3050,-70,-6,,,4G,,,,352,1579,-72,-16,,,4G,,,,483,1579,-72,-18,,,4G,,,,378,1579,-74,-17,,,4G,,,,355,500,-75,-10,,,4G,,,,191,500,-75,-10,,,4G,,,,426,500,-80,-20,,,4G,,,,348,500,-88,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_16.54.48.076,16.60291886,49.17761233,5,T-Mobile_CZ,23001,2.30012E+14,,601201,21,24646,4G,4G,-66,-12,0.0,-,-34,1579,0,4,380,251,249,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.253.241.152,1,,,,,8,15,92C71,6046,153907477,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,94,NEPRAVDA,,NEPRAVDA,0,1,7,,,,,,,,,4G,,,,487,3050,-70,-6,,,4G,,,,352,1579,-72,-16,,,4G,,,,483,1579,-72,-18,,,4G,,,,378,1579,-74,-17,,,4G,,,,355,500,-75,-10,,,4G,,,,191,500,-75,-10,,,4G,,,,426,500,-80,-20,,,4G,,,,348,500,-88,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
