Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.14_07.26.52.347,16.57181734,49.23191671,1,T-Mobile_CZ,23001,2300100000000--,,,--,,--,--,-340,-20,11,-,-,,0,0,,335,333,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,,,LOG START,,,,1,--,,,-9,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,,,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.26.52.434,16.57184857,49.2318614,2,T-Mobile_CZ,23001,2.30012E+14,,606491,113,24656,4G,4G,-91,-11,11,-,-60,500,0,0,279,335,333,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,,IRAT_HANDOVER_DATA_4G,:230-01-24656-606491-113-500-279,,,1,71,9411B,6050,155261809,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,47,6200,-77,-8,,,4G,,,,45,6200,-78,-11,,,4G,,,,464,1579,-89,-11,,,4G,,,,462,1579,-89,-12,,,4G,,,,281,500,-93,-10,,,4G,,,,466,1579,-95,-18,,,4G,,,,280,500,-100,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.27.12.414,16.57213004,49.23201941,6,T-Mobile_CZ,23001,2.30012E+14,,606491,113,24656,4G,4G,-82,-10,11,-,-52,500,1,52,279,326,324,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,1,,,,,20,71,9411B,6050,155261809,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,19,,,,,,,,,4G,,,,462,1579,-84,-14,,,4G,,,,281,500,-90,-16,,,4G,,,,287,1579,-93,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.27.28.398,16.5723204,49.23220819,6,T-Mobile_CZ,23001,2.30012E+14,,606491,113,24656,4G,4G,-87,-12,11,-,-55,500,2,30,279,325,323,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,2,,,,,36,71,9411B,6050,155261809,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,35,,,,,,,,,4G,,,,45,6200,-70,-10,,,4G,,,,47,6200,-77,-15,,,4G,,,,462,1579,-83,-14,,,4G,,,,464,1579,-83,-14,,,4G,,,,281,500,-88,-10,,,4G,,,,287,1579,-89,-20,,,4G,,,,280,500,-100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.27.42.976,16.5723204,49.23220819,6,T-Mobile_CZ,23001,2.30012E+14,,606491,112,24656,4G,4G,-85,-12,7,-,-53,500,0,17,281,325,323,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,,HANDOVER_DATA_4G4G,230-01-24656-606491-113-500-279:230-01-24656-606491-112-500-281,,,49,70,9411B,6050,155261808,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,9,,,,,,,,,4G,,,,45,6200,-71,-8,,,4G,,,,47,6200,-81,-17,,,4G,,,,462,1579,-82,-11,,,4G,,,,464,1579,-85,-18,,,4G,,,,466,1579,-89,-17,,,4G,,,,280,500,-92,-17,,,4G,,,,261,500,-92,-18,,,4G,,,,279,500,-93,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.27.44.383,16.57254041,49.23238531,6,T-Mobile_CZ,23001,2.30012E+14,,606491,112,24656,4G,4G,-85,-12,7,-,-53,500,0,17,281,324,322,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,0,,,,,2,70,9411B,6050,155261808,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,11,,,,,,,,,4G,,,,45,6200,-71,-8,,,4G,,,,47,6200,-81,-17,,,4G,,,,462,1579,-82,-11,,,4G,,,,464,1579,-85,-18,,,4G,,,,466,1579,-89,-17,,,4G,,,,280,500,-92,-17,,,4G,,,,261,500,-92,-18,,,4G,,,,279,500,-93,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.28.00.402,16.57287538,49.23248048,5,T-Mobile_CZ,23001,2.30012E+14,,606491,112,24656,4G,4G,-82,-13,7,-,-49,500,0,53,281,322,320,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,0,,,,,17,70,9411B,6050,155261808,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,26,,,,,,,,,4G,,,,45,6200,-66,-8,,,4G,,,,40,6200,-76,-18,,,4G,,,,462,1579,-80,-11,,,4G,,,,47,6200,-81,-20,,,4G,,,,466,6200,-81,-20,,,4G,,,,280,500,-83,-14,,,4G,,,,220,6200,-83,-20,,,4G,,,,466,1579,-86,-18,,,4G,,,,287,1579,-86,-20,,,4G,,,,464,1579,-87,-17,,,4G,,,,5,1579,-88,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.28.15.386,16.57321355,49.23253355,5,T-Mobile_CZ,23001,2.30012E+14,,606491,112,24656,4G,4G,-84,-14,7,-,-50,500,0,11,281,321,319,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,0,,,,,31,70,9411B,6050,155261808,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,40,,,,,,,,,4G,,,,45,6200,-63,-9,,,4G,,,,47,6200,-72,-18,,,4G,,,,466,6200,-75,-18,,,4G,,,,40,6200,-76,-18,,,4G,,,,220,6200,-78,-19,,,4G,,,,462,1579,-79,-11,,,4G,,,,466,1579,-82,-13,,,4G,,,,464,1579,-82,-16,,,4G,,,,280,500,-90,-18,,,4G,,,,279,500,-90,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.28.30.390,16.57355982,49.2325723,6,T-Mobile_CZ,23001,2.30012E+14,,606491,112,24656,4G,4G,-80,-10,7,-,-50,500,0,22,281,320,318,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,0,,,,,46,70,9411B,6050,155261808,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,4,55,,,,,,,,,4G,,,,45,6200,-58,-9,,,4G,,,,40,6200,-68,-19,,,4G,,,,220,6200,-78,-19,,,4G,,,,462,1579,-84,-14,,,4G,,,,466,1579,-85,-15,,,4G,,,,280,500,-86,-14,,,4G,,,,464,1579,-89,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.14_07.28.46.419,16.57390588,49.23261755,6,T-Mobile_CZ,23001,2.30012E+14,,606491,112,24656,4G,4G,-75,-9,7,-,-46,500,0,11,281,320,318,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.89.161.29,0,,,,,61,70,9411B,6050,155261808,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,70,,,,,,,,,4G,,,,45,6200,-60,-9,,,4G,,,,462,1579,-80,-11,,,4G,,,,280,500,-84,-16,,,4G,,,,466,1579,-86,-16,,,4G,,,,279,500,-90,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
