Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.04_08.41.16.722,16.57982067,49.24685814,1,T-Mobile_CZ,23001,2.30012E+14,,606421,113,24656,4G,4G,-78,-8,11.0,-,-50,500,-1,-1,465,0,-2,31,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,LOG START,,,,1,71,940D5,6050,155243889,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,42,6200,-59,-6,,,4G,,,,398,1579,-77,-9,,,4G,,,,468,500,-85,-17,,,4G,,,,388,1579,-88,-16,,,4G,,,,46,1579,-90,-20,,,4G,,,,464,500,-98,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.16.742,16.57982067,49.24685814,1,T-Mobile_CZ,23001,2.30012E+14,,606421,113,24656,4G,4G,-68,-8,11.0,-,-40,500,-1,-1,465,0,-2,31,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24656-606421-13-500-465:230-01-24656-606421-113-500-465,,,1,71,940D5,6050,155243889,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,42,6200,-60,-7,,,4G,,,,398,1579,-65,-7,,,4G,,,,32,6200,-76,-20,,,4G,,,,46,1579,-78,-20,,,4G,,,,468,500,-83,-20,,,4G,,,,388,1579,-87,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.24.082,16.57973777,49.24660749,32,T-Mobile_CZ,23001,2.30012E+14,,606421,113,24656,4G,4G,-76,-7,11.0,-,-49,500,-1,-1,465,334,332,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,8,71,940D5,6050,155243889,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,7,,,,,,,,,4G,,,,42,6200,-74,-10,,,4G,,,,398,1579,-78,-11,,,4G,,,,52,6200,-81,-17,,,4G,,,,43,6200,-84,-20,,,4G,,,,388,1579,-85,-19,,,4G,,,,46,1579,-91,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.27.017,16.5799083,49.24635234,39,T-Mobile_CZ,23001,2.30012E+14,,606421,113,24656,4G,4G,-89,-8,11.0,-,-61,500,-1,-1,465,333,331,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,11,71,940D5,6050,155243889,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,10,,,,,,,,,4G,,,,43,6200,-80,-15,,,4G,,,,42,6200,-81,-11,,,4G,,,,388,1579,-85,-19,,,4G,,,,398,1579,-86,-11,,,4G,,,,52,6200,-87,-18,,,4G,,,,389,1579,-94,-17,,,4G,,,,46,1579,-97,-20,,,4G,,,,467,500,-98,-19,,,4G,,,,21,500,-99,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.30.022,16.58009066,49.24607368,42,T-Mobile_CZ,23001,2.30012E+14,,606421,113,24656,4G,4G,-97,-11,11.0,-,-66,500,-1,-1,465,331,329,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,14,71,940D5,6050,155243889,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,13,,,,,,,,,4G,,,,43,6200,-80,-15,,,4G,,,,388,1579,-85,-19,,,4G,,,,310,6200,-91,-14,,,4G,,,,42,6200,-94,-16,,,4G,,,,224,6200,-94,-16,,,4G,,,,398,1579,-95,-11,,,4G,,,,52,6200,-96,-18,,,4G,,,,389,1579,-96,-12,,,4G,,,,467,500,-99,-15,,,4G,,,,401,1579,-100,-14,,,4G,,,,53,1579,-102,-18,,,4G,,,,427,500,-103,-16,,,4G,,,,46,1579,-107,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.33.036,16.58028388,49.24578894,42,T-Mobile_CZ,23001,2.30012E+14,,606421,113,24656,4G,4G,-97,-11,5.0,-,-66,500,-1,-1,465,329,327,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,16,71,940D5,6050,155243889,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,2,0,,,,,,,,,4G,,,,43,6200,-80,-15,,,4G,,,,388,1579,-85,-19,,,4G,,,,310,6200,-91,-14,,,4G,,,,42,6200,-94,-16,,,4G,,,,224,6200,-94,-16,,,4G,,,,398,1579,-95,-11,,,4G,,,,52,6200,-96,-18,,,4G,,,,389,1579,-96,-12,,,4G,,,,467,500,-99,-15,,,4G,,,,401,1579,-100,-14,,,4G,,,,53,1579,-102,-18,,,4G,,,,427,500,-103,-16,,,4G,,,,46,1579,-107,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.34.057,16.58028388,49.24578894,42,T-Mobile_CZ,23001,2.30012E+14,,606421,112,24656,4G,4G,-99,-12,5.0,-,-67,500,-1,-1,467,329,327,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24656-606421-113-500-465:230-01-24656-606421-112-500-467,,,17,70,940D5,6050,155243888,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,0,0,,,,,,,,,4G,,,,427,500,-100,-16,,,4G,,,,52,6200,-100,-13,,,4G,,,,389,1579,-101,-15,,,4G,,,,310,6200,-101,-14,,,4G,,,,401,1579,-102,-16,,,4G,,,,465,500,-103,-17,,,4G,,,,398,1579,-104,-19,,,4G,,,,42,6200,-105,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.35.014,16.58043293,49.24558514,45,T-Mobile_CZ,23001,2.30012E+14,,606421,112,24656,4G,4G,-99,-12,5.0,-,-67,500,-1,-1,467,329,327,4,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,1,70,940D5,6050,155243888,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,1,,,,,,,,,4G,,,,427,500,-100,-16,,,4G,,,,52,6200,-100,-13,,,4G,,,,389,1579,-101,-15,,,4G,,,,310,6200,-101,-14,,,4G,,,,401,1579,-102,-16,,,4G,,,,465,500,-103,-17,,,4G,,,,398,1579,-104,-19,,,4G,,,,42,6200,-105,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.37.024,16.5805796,49.24536839,48,T-Mobile_CZ,23001,2.30012E+14,,606421,112,24656,4G,4G,-99,-12,5.0,-,-67,500,-1,-1,467,328,326,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,3,70,940D5,6050,155243888,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,1,3,,,,,,,,,4G,,,,427,500,-100,-16,,,4G,,,,52,6200,-100,-13,,,4G,,,,389,1579,-101,-15,,,4G,,,,310,6200,-101,-14,,,4G,,,,401,1579,-102,-16,,,4G,,,,465,500,-103,-17,,,4G,,,,398,1579,-104,-19,,,4G,,,,42,6200,-105,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.39.029,16.58071643,49.24514803,48,T-Mobile_CZ,23001,2.30012E+14,,606421,112,24656,4G,4G,-108,-19,5.0,-,-69,500,-1,-1,467,327,325,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,5,70,940D5,6050,155243888,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,1,5,,,,,,,,,4G,,,,310,6200,-94,-15,,,4G,,,,52,6200,-96,-17,,,4G,,,,401,1579,-100,-16,,,4G,,,,389,1579,-101,-15,,,4G,,,,398,1579,-102,-18,,,4G,,,,427,500,-105,-11,,,4G,,,,465,500,-109,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
