Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.04_08.41.16.723,16.57982067,49.24685814,1,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-73,-7,23.0,-,-46,1849,14,131,464,0,-2,31,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.78.148.173,,LOG START,,,,1,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,9,0,,,,,,,,,4G,,,,464,6400,-61,-8,,,4G,,,,23,6400,-71,-20,,,4G,,,,464,300,-82,-6,,,4G,,,,462,1849,-83,-18,,,4G,,,,22,1849,-87,-20,,,4G,,,,130,1849,-95,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.24.083,16.57973777,49.24660749,32,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-73,-7,23.0,-,-46,1849,4,92,464,334,332,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.78.148.173,,,,,,8,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,1,7,,,,,,,,,4G,,,,130,1849,-82,-20,,,4G,,,,22,1849,-84,-20,,,4G,,,,462,1849,-85,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.27.017,16.5799083,49.24635234,39,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-80,-6,23.0,-,-54,1849,0,36,464,333,331,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.78.148.173,,,,,,11,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,10,,,,,,,,,4G,,,,22,1849,-99,-20,,,4G,,,,130,1849,-101,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.30.022,16.58009066,49.24607368,42,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-90,-7,23.0,-,-63,1849,0,36,464,331,329,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.78.148.173,,,,,,14,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,13,,,,,,,,,4G,,,,22,1849,-114,-19,,,4G,,,,130,1849,-115,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.33.030,16.58028388,49.24578894,42,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-86,-7,23.0,-,-59,1849,0,34,464,329,327,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.78.148.173,,,,,,16,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,1,15,,,,,,,,,4G,,,,22,1849,-114,-19,,,4G,,,,130,1849,-115,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.35.014,16.58043293,49.24558514,45,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-86,-7,16.0,-,-59,1849,7,45,464,329,327,4,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.78.148.173,,,,,,1,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,2,0,,,,,,,,,4G,,,,22,1849,-114,-19,,,4G,,,,130,1849,-115,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.37.024,16.5805796,49.24536839,48,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-89,-7,16.0,-,-62,1849,0,43,464,328,326,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.78.148.173,,,,,,3,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,1,2,,,,,,,,,4G,,,,22,1849,-101,-20,,,4G,,,,130,1849,-101,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.39.029,16.58071643,49.24514803,48,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-82,-7,16.0,-,-55,1849,0,21,464,327,325,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.78.148.173,,,,,,5,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,1,4,,,,,,,,,4G,,,,130,1849,-102,-20,,,4G,,,,22,1849,-102,-18,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.41.029,16.5808581,49.24493191,47,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-89,-11,16.0,-,-58,1849,0,4,464,325,323,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.78.148.173,,,,,,2,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,1,6,,,,,,,,,4G,,,,130,1849,-102,-20,,,4G,,,,22,1849,-102,-18,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_08.41.44.015,16.58105252,49.24463254,42,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-92,-9,16.0,-,-63,1849,0,6,464,323,321,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.78.148.173,,,,,,5,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,9,,,,,,,,,4G,,,,130,1849,-96,-11,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
