Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.13_21.38.33.357,16.57077795,49.23143128,0,T-Mobile_CZ,23001,2.30012E+14,,606491,23,24656,4G,4G,-76,-15,13.0,-,-41,1579,0,0,464,331,329,7,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,,,,,,1,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,47,6200,-72,-12,,,4G,,,,45,6200,-73,-12,,,4G,,,,462,1579,-79,-18,,,4G,,,,466,1579,-81,-18,,,4G,,,,40,6200,-81,-19,,,4G,,,,279,500,-85,-14,,,4G,,,,281,500,-87,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.39.00.066,16.57113083,49.23138221,5,T-Mobile_CZ,23001,2.30012E+14,,606491,23,24656,4G,4G,-72,-14,13.0,-,-38,1579,0,63,464,326,324,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,27,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,26,,,,,,,,,4G,,,,45,6200,-74,-12,,,4G,,,,462,1579,-75,-17,,,4G,,,,466,1579,-75,-19,,,4G,,,,47,6200,-76,-14,,,4G,,,,40,6200,-79,-18,,,4G,,,,279,500,-81,-12,,,4G,,,,281,500,-82,-13,,,4G,,,,280,500,-89,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.39.17.133,16.57146351,49.23144774,5,T-Mobile_CZ,23001,2.30012E+14,,606491,23,24656,4G,4G,-77,-17,13.0,-,-40,1579,0,9,464,328,326,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,43,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,42,,,,,,,,,4G,,,,47,6200,-74,-14,,,4G,,,,45,6200,-75,-15,,,4G,,,,462,1579,-76,-16,,,4G,,,,40,6200,-79,-19,,,4G,,,,279,500,-81,-15,,,4G,,,,281,500,-81,-13,,,4G,,,,280,500,-83,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.39.35.064,16.57164041,49.23164699,5,T-Mobile_CZ,23001,2.30012E+14,,606491,23,24656,4G,4G,-69,-10,13.0,-,-39,1579,0,72,464,328,326,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,60,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,59,,,,,,,,,4G,,,,47,6200,-76,-10,,,4G,,,,462,1579,-77,-17,,,4G,,,,279,500,-78,-13,,,4G,,,,45,6200,-80,-14,,,4G,,,,280,500,-85,-17,,,4G,,,,281,500,-86,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.39.53.068,16.57183313,49.23183691,5,T-Mobile_CZ,23001,2.30012E+14,,606491,23,24656,4G,4G,-85,-18,13.0,-,-47,1579,0,23,464,328,326,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,78,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,77,,,,,,,,,4G,,,,47,6200,-79,-13,,,4G,,,,45,6200,-80,-15,,,4G,,,,281,500,-84,-11,,,4G,,,,462,1579,-85,-16,,,4G,,,,280,500,-85,-20,,,4G,,,,280,1579,-86,-18,,,4G,,,,466,1579,-90,-17,,,4G,,,,279,500,-90,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.40.02.241,16.57183313,49.23183691,5,T-Mobile_CZ,23001,2.30012E+14,,606491,22,24656,4G,4G,-88,-18,2.0,-,-50,1579,2,81,462,328,326,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,,HANDOVER_DATA_4G4G,230-01-24656-606491-23-1579-464:230-01-24656-606491-22-1579-462,,,86,16,9411B,6050,155261718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,7,,,,,,,,,4G,,,,47,6200,-82,-10,,,4G,,,,45,6200,-85,-13,,,4G,,,,464,1579,-88,-16,,,4G,,,,279,500,-89,-15,,,4G,,,,281,500,-91,-17,,,4G,,,,466,1579,-92,-19,,,4G,,,,280,500,-92,-19,,,4G,,,,40,6200,-93,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.40.09.077,16.5720335,49.23203969,5,T-Mobile_CZ,23001,2.30012E+14,,606491,22,24656,4G,4G,-88,-18,2.0,-,-50,1579,3,15,462,326,324,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,7,16,9411B,6050,155261718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,13,,,,,,,,,4G,,,,47,6200,-82,-10,,,4G,,,,45,6200,-85,-13,,,4G,,,,464,1579,-88,-16,,,4G,,,,279,500,-89,-15,,,4G,,,,281,500,-91,-17,,,4G,,,,466,1579,-92,-19,,,4G,,,,280,500,-92,-19,,,4G,,,,40,6200,-93,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.40.22.075,16.57221637,49.23223271,6,T-Mobile_CZ,23001,2.30012E+14,,606491,22,24656,4G,4G,-89,-11,2.0,-,-58,1579,0,4,462,326,324,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,19,16,9411B,6050,155261718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,8,25,,,,,,,,,4G,,,,45,6200,-87,-13,,,4G,,,,40,6200,-89,-15,,,4G,,,,47,6200,-90,-17,,,4G,,,,466,1579,-92,-16,,,4G,,,,281,500,-92,-12,,,4G,,,,287,1579,-93,-16,,,4G,,,,464,1579,-94,-17,,,4G,,,,394,1579,-94,-18,,,4G,,,,280,500,-95,-17,,,4G,,,,279,500,-96,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.40.37.054,16.5724085,49.23242803,6,T-Mobile_CZ,23001,2.30012E+14,,606491,22,24656,4G,4G,-86,-10,2.0,-,-56,1579,1,37,462,325,323,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,34,16,9411B,6050,155261718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,9,,,,,,,,,4G,,,,45,6200,-79,-12,,,4G,,,,40,6200,-80,-13,,,4G,,,,466,6200,-85,-16,,,4G,,,,464,6200,-89,-20,,,4G,,,,466,1579,-92,-15,,,4G,,,,281,500,-92,-14,,,4G,,,,47,6200,-92,-20,,,4G,,,,261,500,-97,-18,,,4G,,,,379,500,-97,-18,,,4G,,,,280,500,-98,-18,,,4G,,,,219,500,-101,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_21.40.52.072,16.57268762,49.23256246,5,T-Mobile_CZ,23001,2.30012E+14,,606491,22,24656,4G,4G,-85,-13,2.0,-,-52,1579,0,25,462,323,321,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.128.56,0,,,,,48,16,9411B,6050,155261718,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,8,23,,,,,,,,,4G,,,,40,6200,-74,-11,,,4G,,,,45,6200,-77,-14,,,4G,,,,466,6200,-82,-16,,,4G,,,,466,1579,-86,-15,,,4G,,,,287,1579,-90,-18,,,4G,,,,281,500,-91,-14,,,4G,,,,280,500,-93,-15,,,4G,,,,261,500,-98,-20,,,4G,,,,219,500,-107,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
