Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.13_12.08.42.119,16.56994149,49.2320433,4,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-85,-11,13,-,-54,1579,10,164,464,366,364,7,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,0,,,,,6,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,5,,,,,,,,,4G,,,,47,6200,-79,-9,,,4G,,,,279,500,-85,-10,,,4G,,,,281,500,-91,-20,,,4G,,,,40,6200,-92,-20,,,4G,,,,287,1579,-95,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.09.04.842,16.56969329,49.23221905,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-92,-14,13,-,-58,1579,0,45,464,341,339,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,28,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,27,,,,,,,,,4G,,,,47,6200,-89,-8,,,4G,,,,279,500,-95,-11,,,4G,,,,466,1579,-98,-17,,,4G,,,,462,1579,-98,-17,,,4G,,,,280,500,-100,-16,,,4G,,,,466,6200,-100,-20,,,4G,,,,40,6200,-100,-19,,,4G,,,,287,1579,-101,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.09.19.816,16.56945863,49.23238902,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-97,-13,13,-,-64,1579,0,47,464,337,335,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,42,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,41,,,,,,,,,4G,,,,47,6200,-89,-10,,,4G,,,,279,500,-95,-16,,,4G,,,,40,6200,-97,-15,,,4G,,,,280,500,-98,-16,,,4G,,,,466,6200,-98,-20,,,4G,,,,466,1579,-102,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.09.36.832,16.56919128,49.23254235,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-99,-13,13,-,-66,1579,0,55,464,337,335,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,59,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,58,,,,,,,,,4G,,,,47,6200,-89,-13,,,4G,,,,40,6200,-95,-18,,,4G,,,,466,1579,-104,-16,,,4G,,,,279,500,-104,-14,,,4G,,,,280,500,-107,-16,,,4G,,,,436,500,-110,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.09.53.818,16.56894159,49.23269899,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-96,-12,13,-,-64,1579,0,5,464,340,338,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,75,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,1,74,,,,,,,,,4G,,,,47,6200,-87,-7,,,4G,,,,40,6200,-95,-15,,,4G,,,,279,500,-99,-10,,,4G,,,,466,1579,-100,-17,,,4G,,,,280,500,-108,-17,,,4G,,,,281,500,-110,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.10.13.814,16.56869592,49.23286716,4,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-102,-15,13,-,-67,1579,0,4,464,344,342,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,94,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,93,,,,,,,,,4G,,,,47,6200,-87,-10,,,4G,,,,40,6200,-97,-15,,,4G,,,,279,500,-100,-15,,,4G,,,,466,6200,-100,-20,,,4G,,,,280,500,-103,-17,,,4G,,,,493,6200,-103,-20,,,4G,,,,267,1579,-106,-19,,,4G,,,,462,1579,-108,-20,,,4G,,,,287,1579,-109,-17,,,4G,,,,466,1579,-112,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.10.35.830,16.56837428,49.23295086,4,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-101,-13,13,-,-68,1579,3,30,464,349,347,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,115,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,114,,,,,,,,,4G,,,,47,6200,-90,-9,,,4G,,,,279,500,-97,-12,,,4G,,,,466,6200,-99,-18,,,4G,,,,40,6200,-100,-18,,,4G,,,,280,500,-104,-17,,,4G,,,,261,500,-104,-20,,,4G,,,,466,1579,-106,-18,,,4G,,,,287,1579,-108,-19,,,4G,,,,281,500,-116,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.10.56.816,16.56803922,49.23303636,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-102,-13,13,-,-69,1579,0,3,464,354,352,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,135,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,1,134,,,,,,,,,4G,,,,47,6200,-95,-11,,,4G,,,,279,500,-100,-11,,,4G,,,,466,6200,-101,-17,,,4G,,,,466,1579,-106,-16,,,4G,,,,287,1579,-108,-19,,,4G,,,,261,500,-108,-17,,,4G,,,,462,1579,-110,-19,,,4G,,,,394,1579,-114,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.11.18.817,16.5677051,49.23310068,4,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-102,-15,13,-,-67,1579,0,29,464,358,356,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,2,,,,,156,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,155,,,,,,,,,4G,,,,47,6200,-92,-7,,,4G,,,,279,500,-102,-12,,,4G,,,,493,6200,-103,-20,,,4G,,,,462,1579,-104,-17,,,4G,,,,466,6200,-105,-20,,,4G,,,,466,1579,-106,-18,,,4G,,,,287,1579,-107,-17,,,4G,,,,280,500,-108,-17,,,4G,,,,281,500,-108,-17,,,4G,,,,261,500,-111,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.11.39.829,16.56738221,49.23318223,4,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-108,-16,2,-,-72,1579,0,14,464,360,358,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,176,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,175,,,,,,,,,4G,,,,47,6200,-92,-11,,,4G,,,,466,6200,-99,-18,,,4G,,,,287,1579,-107,-16,,,4G,,,,281,500,-108,-18,,,4G,,,,466,1579,-109,-18,,,4G,,,,462,1579,-109,-18,,,4G,,,,279,500,-112,-15,,,4G,,,,261,500,-113,-20,,,4G,,,,280,500,-113,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.12.09.807,16.56717644,49.23299647,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-101,-16,2,-,-65,1579,0,4,464,362,360,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,2,,,,,204,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,1,28,,,,,,,,,4G,,,,47,6200,-86,-11,,,4G,,,,466,6200,-96,-18,,,4G,,,,462,1579,-104,-19,,,4G,,,,287,1579,-106,-16,,,4G,,,,261,500,-107,-15,,,4G,,,,279,500,-108,-16,,,4G,,,,471,500,-113,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.12.24.808,16.56727084,49.23277395,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-91,-13,4,-,-58,1579,0,0,464,364,362,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,2,,,,,219,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,7,,,,,,,,,4G,,,,47,6200,-79,-9,,,4G,,,,466,6200,-87,-18,,,4G,,,,279,500,-96,-11,,,4G,,,,287,1579,-97,-17,,,4G,,,,471,500,-101,-19,,,4G,,,,261,500,-103,-17,,,4G,,,,280,500,-105,-20,,,4G,,,,268,500,-105,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.12.40.809,16.56734112,49.23254562,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-88,-10,4,-,-58,1579,0,18,464,363,361,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,234,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,22,,,,,,,,,4G,,,,47,6200,-82,-9,,,4G,,,,279,500,-85,-11,,,4G,,,,261,500,-87,-16,,,4G,,,,287,1579,-92,-16,,,4G,,,,471,500,-92,-17,,,4G,,,,466,1579,-94,-18,,,4G,,,,280,500,-95,-16,,,4G,,,,268,500,-96,-18,,,4G,,,,466,6200,-96,-20,,,4G,,,,462,1579,-98,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.12.57.817,16.56739089,49.23230852,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-87,-10,4,-,-57,1579,0,2,464,362,360,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,250,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,38,,,,,,,,,4G,,,,47,6200,-78,-7,,,4G,,,,428,6200,-87,-17,,,4G,,,,279,500,-94,-11,,,4G,,,,466,6200,-95,-18,,,4G,,,,287,1579,-96,-17,,,4G,,,,394,1579,-97,-17,,,4G,,,,280,500,-97,-16,,,4G,,,,261,500,-98,-15,,,4G,,,,471,500,-99,-17,,,4G,,,,281,500,-100,-17,,,4G,,,,462,1579,-101,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.13.13.820,16.56740028,49.2320709,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-91,-15,4,-,-56,1579,0,17,464,361,359,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,265,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,54,,,,,,,,,4G,,,,47,6200,-83,-13,,,4G,,,,279,500,-91,-14,,,4G,,,,428,6200,-92,-20,,,4G,,,,462,1579,-96,-17,,,4G,,,,281,500,-97,-19,,,4G,,,,40,6200,-97,-20,,,4G,,,,261,500,-98,-16,,,4G,,,,280,500,-98,-17,,,4G,,,,471,500,-99,-20,,,4G,,,,466,1579,-105,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.13.27.816,16.56749089,49.23185281,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-94,-12,4,-,-62,1579,0,2,464,362,360,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,279,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,67,,,,,,,,,4G,,,,279,500,-94,-12,,,4G,,,,47,6200,-96,-12,,,4G,,,,280,500,-97,-20,,,4G,,,,444,500,-98,-19,,,4G,,,,394,1579,-99,-15,,,4G,,,,287,1579,-99,-15,,,4G,,,,261,500,-99,-17,,,4G,,,,428,6200,-99,-16,,,4G,,,,403,1579,-100,-17,,,4G,,,,432,500,-101,-19,,,4G,,,,466,6200,-103,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.13.42.829,16.56755508,49.23163192,6,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-89,-12,4,-,-57,1579,0,28,464,364,362,6,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,293,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,7,81,,,,,,,,,4G,,,,279,500,-90,-14,,,4G,,,,47,6200,-96,-9,,,4G,,,,287,1579,-97,-17,,,4G,,,,322,1579,-97,-18,,,4G,,,,432,500,-99,-20,,,4G,,,,261,500,-99,-20,,,4G,,,,471,500,-100,-20,,,4G,,,,428,6200,-100,-14,,,4G,,,,466,6200,-100,-14,,,4G,,,,394,1579,-101,-20,,,4G,,,,466,1579,-102,-20,,,4G,,,,444,500,-102,-20,,,4G,,,,40,6200,-109,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.13.49.407,16.56755508,49.23163192,6,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-93,-10,4,-,-63,1579,2,22,464,364,362,6,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,PERIODIC,,,,300,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,4,88,,,,,,,,,4G,,,,47,6200,-90,-10,,,4G,,,,279,500,-95,-12,,,4G,,,,471,500,-100,-20,,,4G,,,,261,500,-101,-18,,,4G,,,,287,1579,-102,-17,,,4G,,,,428,6200,-102,-17,,,4G,,,,466,6200,-102,-16,,,4G,,,,394,1579,-103,-18,,,4G,,,,432,500,-103,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.13.58.833,16.56760449,49.23139921,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-96,-15,4,-,-61,1579,0,1,464,366,364,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,309,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,97,,,,,,,,,4G,,,,287,1579,-95,-12,,,4G,,,,261,500,-96,-12,,,4G,,,,47,6200,-96,-14,,,4G,,,,466,6200,-96,-15,,,4G,,,,279,500,-99,-14,,,4G,,,,471,500,-107,-20,,,4G,,,,432,500,-110,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.14.15.808,16.56767316,49.23117009,5,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-94,-11,6,-,-63,1579,0,17,464,366,364,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,325,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,7,,,,,,,,,4G,,,,47,6200,-89,-11,,,4G,,,,466,6200,-90,-14,,,4G,,,,287,1579,-100,-17,,,4G,,,,322,1579,-100,-18,,,4G,,,,279,500,-100,-14,,,4G,,,,432,500,-100,-18,,,4G,,,,471,500,-104,-18,,,4G,,,,261,500,-105,-17,,,4G,,,,268,500,-105,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.13_12.14.31.805,16.56775963,49.23094801,6,T-Mobile_CZ,23001,2.30E+14,,606491,23,24656,4G,4G,-89,-12,6,-,-57,1579,0,0,464,365,363,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.122.95.171,1,,,,,340,17,9411B,6050,155261719,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,22,,,,,,,,,4G,,,,47,6200,-88,-11,,,4G,,,,466,6200,-91,-17,,,4G,,,,279,500,-93,-11,,,4G,,,,287,1579,-98,-14,,,4G,,,,268,500,-99,-19,,,4G,,,,261,500,-100,-17,,,4G,,,,322,1579,-105,-20,,,4G,,,,394,1579,-105,-20,,,4G,,,,471,500,-105,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
