Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.17_21.31.22.208,16.59232183,49.21240265,4,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-91,-13,7.0,-,-58,500,-1,-1,489,307,305,8,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,11,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,1,9,,,,,,,,,4G,,,,12,6200,-84,-11,,,4G,,,,16,6200,-85,-12,,,4G,,,,494,1579,-87,-13,,,4G,,,,213,6200,-89,-16,,,4G,,,,487,1579,-93,-13,,,4G,,,,494,500,-94,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.31.47.721,16.59226598,49.21262588,4,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-86,-15,7.0,-,-51,500,-1,-1,489,299,297,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,35,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,34,,,,,,,,,4G,,,,12,6200,-73,-10,,,4G,,,,16,6200,-75,-14,,,4G,,,,213,6200,-78,-14,,,4G,,,,494,1579,-84,-11,,,4G,,,,494,500,-88,-15,,,4G,,,,487,1579,-91,-12,,,4G,,,,215,6200,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.05.671,16.59225027,49.21285583,4,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-77,-8,7.0,-,-49,500,-1,-1,489,311,309,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,53,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,51,,,,,,,,,4G,,,,12,6200,-78,-11,,,4G,,,,494,1579,-79,-12,,,4G,,,,16,6200,-79,-12,,,4G,,,,494,500,-83,-17,,,4G,,,,213,6200,-83,-16,,,4G,,,,260,1579,-84,-20,,,4G,,,,336,500,-85,-16,,,4G,,,,487,1579,-85,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.16.650,16.59214306,49.2130731,5,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-78,-12,7.0,-,-46,500,-1,-1,489,303,301,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,63,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,61,,,,,,,,,4G,,,,12,6200,-72,-13,,,4G,,,,494,1579,-74,-8,,,4G,,,,16,6200,-77,-16,,,4G,,,,213,6200,-80,-20,,,4G,,,,487,1579,-81,-15,,,4G,,,,494,500,-83,-17,,,4G,,,,334,500,-84,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.26.661,16.59178238,49.21312898,6,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-71,-12,7.0,-,-39,500,-1,-1,489,296,294,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,73,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,71,,,,,,,,,4G,,,,12,6200,-59,-11,,,4G,,,,16,6200,-67,-18,,,4G,,,,213,6200,-68,-19,,,4G,,,,494,1579,-74,-13,,,4G,,,,487,1579,-75,-14,,,4G,,,,494,500,-77,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.39.701,16.59142876,49.21305857,6,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-65,-11,7.0,-,-34,500,-1,-1,489,292,290,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,85,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,83,,,,,,,,,4G,,,,12,6200,-56,-12,,,4G,,,,494,1579,-68,-9,,,4G,,,,16,6200,-69,-17,,,4G,,,,494,500,-70,-18,,,4G,,,,490,500,-76,-20,,,4G,,,,487,1579,-76,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.54.677,16.59109608,49.21296611,5,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-65,-9,7.0,-,-36,500,-1,-1,489,291,289,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,100,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,98,,,,,,,,,4G,,,,494,1579,-58,-7,,,4G,,,,12,6200,-61,-15,,,4G,,,,16,6200,-66,-17,,,4G,,,,494,500,-72,-19,,,4G,,,,487,1579,-75,-20,,,4G,,,,469,1579,-76,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.33.10.648,16.59076816,49.21287799,5,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-66,-12,7.0,-,-34,500,-1,-1,489,292,290,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,115,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,113,,,,,,,,,4G,,,,494,1579,-65,-8,,,4G,,,,12,6200,-68,-12,,,4G,,,,16,6200,-68,-18,,,4G,,,,487,1579,-77,-20,,,4G,,,,494,500,-88,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.33.25.660,16.59045121,49.21278976,6,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-61,-8,7.0,-,-33,500,-1,-1,489,293,291,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,129,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,9,127,,,,,,,,,4G,,,,494,1579,-59,-10,,,4G,,,,12,6200,-64,-10,,,4G,,,,487,1579,-70,-17,,,4G,,,,494,500,-71,-17,,,4G,,,,347,500,-74,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.33.39.658,16.59012814,49.21269783,6,T-Mobile_CZ,23001,2.30012E+14,,606201,113,24656,4G,4G,-74,-7,7.0,-,-47,500,-1,-1,489,291,289,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,143,71,93FF9,6050,155187569,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,141,,,,,,,,,4G,,,,12,6200,-60,-7,,,4G,,,,494,1579,-71,-14,,,4G,,,,487,1579,-73,-17,,,4G,,,,486,1579,-80,-19,,,4G,,,,17,6200,-80,-20,,,4G,,,,494,500,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
