Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.17_21.31.22.208,16.59232183,49.21240265,4,Vodafone_CZ,23003,2.30034E+14,,2430,2,38024,4G,4G,-72,-8,17.0,-,-44,1849,0,138,270,307,305,8,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,11,2,97E,9488,622082,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,1,9,,,,,,,,,4G,,,,271,1849,-81,-17,,,4G,,,,304,1849,-89,-20,,,2G,,,,,0,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,987,-113,,,,2G,,,,,978,-113,,,,2G,,,,,1003,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,976,-113,,,,2G,,,,,994,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.31.47.725,16.59226598,49.21262588,4,Vodafone_CZ,23003,2.30034E+14,,2430,2,38024,4G,4G,-74,-8,17.0,-,-46,1849,0,29,270,299,297,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,35,2,97E,9488,622082,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,33,,,,,,,,,4G,,,,271,1849,-87,-19,,,4G,,,,272,1849,-88,-18,,,4G,,,,304,1849,-97,-20,,,4G,,,,274,1849,-98,-20,,,2G,,,,,0,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,987,-113,,,,2G,,,,,978,-113,,,,2G,,,,,1003,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,976,-113,,,,2G,,,,,994,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.05.671,16.59225027,49.21285583,4,Vodafone_CZ,23003,2.30034E+14,,2430,2,38024,4G,4G,-75,-7,17.0,-,-48,1849,0,26,270,311,309,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,53,2,97E,9488,622082,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,51,,,,,,,,,4G,,,,272,1849,-84,-14,,,4G,,,,304,1849,-86,-10,,,4G,,,,271,1849,-87,-18,,,2G,,,,,0,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,987,-113,,,,2G,,,,,978,-113,,,,2G,,,,,1003,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,976,-113,,,,2G,,,,,994,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.16.647,16.59214306,49.2130731,5,Vodafone_CZ,23003,2.30034E+14,,2430,2,38024,4G,4G,-76,-11,17.0,-,-45,1849,3,56,270,303,301,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,63,2,97E,9488,622082,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,61,,,,,,,,,4G,,,,272,1849,-87,-19,,,4G,,,,304,1849,-88,-12,,,4G,,,,287,1849,-92,-20,,,2G,,,,,0,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,987,-113,,,,2G,,,,,978,-113,,,,2G,,,,,1003,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,976,-113,,,,2G,,,,,994,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.26.660,16.59178238,49.21312898,6,Vodafone_CZ,23003,2.30034E+14,,2430,2,38024,4G,4G,-75,-14,17.0,-,-41,1849,0,20,270,296,294,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,73,2,97E,9488,622082,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,71,,,,,,,,,4G,,,,272,1849,-71,-10,,,4G,,,,271,1849,-79,-19,,,4G,,,,304,1849,-93,-20,,,2G,,,,,0,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,987,-113,,,,2G,,,,,978,-113,,,,2G,,,,,1003,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,976,-113,,,,2G,,,,,994,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.33.688,16.59178238,49.21312898,6,Vodafone_CZ,23003,2.30034E+14,,2430,3,38024,4G,4G,-73,-7,17.0,-,-46,1849,0,40,272,296,294,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,CELL_RESELECTION_4G4G,230-03-38024-2430-2-1849-270:230-03-38024-2430-3-1849-272,,,79,3,97E,9488,622083,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,77,,,,,,,,,4G,,,,274,1849,-82,-15,,,4G,,,,270,1849,-85,-17,,,4G,,,,271,1849,-85,-19,,,4G,,,,304,1849,-86,-19,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,992,-113,,,,2G,,,,,982,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1003,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.39.701,16.59142876,49.21305857,6,Vodafone_CZ,23003,2.30034E+14,,2430,3,38024,4G,4G,-73,-7,17.0,-,-46,1849,0,18,272,292,290,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,85,3,97E,9488,622083,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,83,,,,,,,,,4G,,,,274,1849,-82,-15,,,4G,,,,270,1849,-85,-17,,,4G,,,,271,1849,-85,-19,,,4G,,,,304,1849,-86,-19,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,992,-113,,,,2G,,,,,982,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1003,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.32.54.677,16.59109608,49.21296611,5,Vodafone_CZ,23003,2.30034E+14,,2430,3,38024,4G,4G,-80,-10,17.0,-,-50,1849,0,9,272,291,289,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,100,3,97E,9488,622083,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,98,,,,,,,,,4G,,,,270,1849,-91,-16,,,4G,,,,274,1849,-93,-12,,,4G,,,,285,1849,-96,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,992,-113,,,,2G,,,,,982,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1003,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.33.10.648,16.59076816,49.21287799,5,Vodafone_CZ,23003,2.30034E+14,,2430,3,38024,4G,4G,-77,-11,17.0,-,-46,1849,1,28,272,292,290,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,115,3,97E,9488,622083,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,113,,,,,,,,,4G,,,,274,1849,-84,-18,,,4G,,,,270,1849,-87,-20,,,4G,,,,285,1849,-87,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,992,-113,,,,2G,,,,,982,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1003,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.33.25.660,16.59045121,49.21278976,6,Vodafone_CZ,23003,2.30034E+14,,2430,3,38024,4G,4G,-80,-10,17.0,-,-50,1849,0,20,272,293,291,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,129,3,97E,9488,622083,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,9,127,,,,,,,,,4G,,,,270,1849,-91,-17,,,4G,,,,274,1849,-93,-17,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,992,-113,,,,2G,,,,,982,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1003,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.33.39.658,16.59012814,49.21269783,6,Vodafone_CZ,23003,2.30034E+14,,2430,3,38024,4G,4G,-78,-10,17.0,-,-48,1849,0,9,272,291,289,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,143,3,97E,9488,622083,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,141,,,,,,,,,4G,,,,270,1849,-83,-13,,,4G,,,,274,1849,-87,-17,,,4G,,,,285,1849,-92,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,992,-113,,,,2G,,,,,982,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1003,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.33.54.666,16.58979133,49.21262159,6,Vodafone_CZ,23003,2.30034E+14,,2430,3,38024,4G,4G,-77,-8,17.0,-,-49,1849,0,13,272,291,289,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,157,3,97E,9488,622083,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,7,155,,,,,,,,,4G,,,,270,1849,-86,-17,,,4G,,,,274,1849,-87,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,992,-113,,,,2G,,,,,982,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1003,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.34.08.600,16.58979133,49.21262159,6,Vodafone_CZ,23003,2.30034E+14,,2438,1,38024,4G,4G,-70,-11,17.0,-,-39,1849,0,19,274,291,289,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,CELL_RESELECTION_4G4G,230-03-38024-2430-3-1849-272:230-03-38024-2438-1-1849-274,,,170,1,986,9488,624129,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,169,,,,,,,,,4G,,,,272,1849,-76,-15,,,4G,,,,275,1849,-80,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,997,-113,,,,2G,,,,,993,-113,,,,2G,,,,,991,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.34.09.671,16.58946456,49.2125362,6,Vodafone_CZ,23003,2.30034E+14,,2438,1,38024,4G,4G,-70,-11,17.0,-,-39,1849,0,13,274,291,289,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,171,1,986,9488,624129,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,169,,,,,,,,,4G,,,,272,1849,-76,-15,,,4G,,,,275,1849,-80,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,997,-113,,,,2G,,,,,993,-113,,,,2G,,,,,991,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.17_21.34.27.675,16.58952421,49.21230226,6,Vodafone_CZ,23003,2.30034E+14,,2438,1,38024,4G,4G,-67,-7,17.0,-,-40,1849,0,3,274,293,291,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.116.191.72,,,,,,189,1,986,9488,624129,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,9,187,,,,,,,,,4G,,,,275,1849,-74,-17,,,4G,,,,272,1849,-77,-20,,,2G,,,,,0,-113,,,,2G,,,,,1022,-113,,,,2G,,,,,1020,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,997,-113,,,,2G,,,,,993,-113,,,,2G,,,,,991,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
