Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.15_20.57.34.562,16.58031589,49.22949143,5,T-Mobile_CZ,23001,2.30012E+14,,606101,111,24656,4G,4G,-84,-13,-3,-,-51,500,0,0,268,308,306,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.117.14.155,0,,,,,105,6F,93F95,6050,155161967,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,1,110,,,,,,,,,4G,,,,280,1579,-76,-10,,,4G,,,,464,1579,-80,-17,,,4G,,,,462,1579,-82,-17,,,4G,,,,287,1579,-88,-20,,,4G,,,,344,3050,-89,-10,,,4G,,,,281,500,-94,-18,,,4G,,,,343,3050,-96,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.57.50.571,16.58061581,49.22937595,6,T-Mobile_CZ,23001,2.30012E+14,,606101,111,24656,4G,4G,-82,-13,-3,-,-49,500,0,0,268,309,307,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.117.14.155,0,,,,,120,6F,93F95,6050,155161967,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,7,125,,,,,,,,,4G,,,,344,3050,-78,-10,,,4G,,,,280,1579,-79,-12,,,4G,,,,345,3050,-83,-17,,,4G,,,,281,500,-92,-17,,,4G,,,,462,1579,-94,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.58.06.560,16.58093071,49.22926553,6,T-Mobile_CZ,23001,2.30012E+14,,606101,111,24656,4G,4G,-74,-9,-3,-,-45,500,0,11,268,311,309,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.117.14.155,0,,,,,135,6F,93F95,6050,155161967,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,140,,,,,,,,,4G,,,,280,1579,-77,-11,,,4G,,,,344,3050,-80,-9,,,4G,,,,345,3050,-94,-18,,,4G,,,,281,500,-100,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.58.22.543,16.5811973,49.2291107,6,T-Mobile_CZ,23001,2.30012E+14,,606101,111,24656,4G,4G,-72,-17,15,-,-35,500,0,0,268,311,309,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.117.14.155,0,,,,,151,6F,93F95,6050,155161967,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,11,,,,,,,,,4G,,,,280,1579,-76,-18,,,4G,,,,287,1579,-76,-17,,,4G,,,,344,3050,-81,-13,,,4G,,,,281,500,-92,-20,,,4G,,,,462,1579,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.58.38.887,16.58153231,49.2290956,5,T-Mobile_CZ,23001,2.30012E+14,,606101,21,24656,4G,4G,-72,-11,19,-,-41,1579,20,84,280,311,309,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.37.34.24,,HANDOVER_DATA_4G4G,230-01-24656-606101-111-500-268:230-01-24656-606101-21-1579-280,,,166,15,93F95,6050,155161877,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,1,,,,,,,,,4G,,,,271,1579,-80,-16,,,4G,,,,462,1579,-82,-19,,,4G,,,,344,3050,-84,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.58.39.546,16.58155031,49.22910486,6,T-Mobile_CZ,23001,2.30012E+14,,606101,21,24656,4G,4G,-72,-11,19,-,-41,1579,20,84,280,311,309,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.37.34.24,,,,,,1,15,93F95,6050,155161877,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,1,,,,,,,,,4G,,,,271,1579,-80,-16,,,4G,,,,462,1579,-82,-19,,,4G,,,,344,3050,-84,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.58.58.559,16.58155684,49.2293302,5,T-Mobile_CZ,23001,2.30012E+14,,606101,21,24656,4G,4G,-72,-12,19,-,-40,1579,0,0,280,309,307,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,10.37.34.24,0,,,,,19,15,93F95,6050,155161877,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,19,,,,,,,,,4G,,,,344,3050,-80,-10,,,4G,,,,268,500,-80,-14,,,4G,,,,462,1579,-83,-17,,,4G,,,,343,3050,-87,-17,,,4G,,,,345,3050,-88,-19,,,4G,,,,281,500,-89,-18,,,4G,,,,263,500,-91,-16,,,4G,,,,436,500,-91,-20,,,4G,,,,434,500,-95,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.59.14.554,16.58169133,49.22955167,5,T-Mobile_CZ,23001,2.30012E+14,,606101,21,24656,4G,4G,-80,-15,19,-,-45,1579,0,18,280,311,309,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.37.34.24,0,,,,,35,15,93F95,6050,155161877,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,35,,,,,,,,,4G,,,,344,3050,-84,-13,,,4G,,,,268,500,-84,-10,,,4G,,,,267,1579,-91,-17,,,4G,,,,436,500,-95,-18,,,4G,,,,279,500,-97,-20,,,4G,,,,281,500,-97,-20,,,4G,,,,434,500,-98,-20,,,4G,,,,343,3050,-101,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.59.29.564,16.58188092,49.22974467,5,T-Mobile_CZ,23001,2.30012E+14,,606101,21,24656,4G,4G,-83,-16,19,-,-47,1579,0,4,280,310,308,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.37.34.24,0,,,,,49,15,93F95,6050,155161877,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,49,,,,,,,,,4G,,,,344,3050,-87,-16,,,4G,,,,268,500,-91,-10,,,4G,,,,279,500,-94,-14,,,4G,,,,434,500,-97,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.15_20.59.43.570,16.58208273,49.22993175,5,T-Mobile_CZ,23001,2.30012E+14,,606101,21,24656,4G,4G,-78,-9,19,-,-49,1579,0,13,280,311,309,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.37.34.24,0,,,,,62,15,93F95,6050,155161877,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,62,,,,,,,,,4G,,,,344,3050,-87,-10,,,4G,,,,267,1579,-92,-17,,,4G,,,,268,500,-92,-11,,,4G,,,,281,500,-93,-18,,,4G,,,,462,1579,-96,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
