Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.03_09.20.39.498,16.58241578,49.21682199,2,O2.CZ,23002,230020182300101,,613712,101,1823,4G,LTE,-91,-10,0.0,-,-63,1404,780,125,195,315,313,8,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,2,LOG START,,,,1,65,95D50,71F,157110373,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,289,6300,-88,-14,,,4G,,,,103,6300,-91,-16,,,4G,,,,225,6300,-92,-15,,,4G,,,,131,6300,-92,-17,,,4G,,,,399,1404,-105,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.20.39.507,16.58241578,49.21682199,2,O2.CZ,23002,230020182300101,,613712,101,1823,4G,LTE,-91,-10,0.0,-,-61,1404,780,125,195,292,290,8,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,2,,,,,1,65,95D50,71F,157110373,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,289,6300,-88,-14,,,4G,,,,103,6300,-91,-16,,,4G,,,,225,6300,-92,-15,,,4G,,,,131,6300,-92,-17,,,4G,,,,399,1404,-105,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.21.19.665,16.5826986,49.2169529,5,O2.CZ,23002,230020182300101,,613712,101,1823,4G,LTE,-92,-10,0.0,-,-64,1404,0,0,195,289,287,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,2,,,,,40,65,95D50,71F,157110373,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,6,39,,,,,,,,,4G,,,,289,6300,-89,-13,,,4G,,,,225,6300,-90,-14,,,4G,,,,115,6300,-95,-20,,,4G,,,,463,6300,-95,-16,,,4G,,,,323,6300,-98,-20,,,4G,,,,246,1404,-102,-15,,,4G,,,,88,1404,-102,-20,,,4G,,,,183,1404,-103,-18,,,4G,,,,196,1404,-109,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.21.36.639,16.58301429,49.21704244,5,O2.CZ,23002,230020182300101,,613712,101,1823,4G,LTE,-101,-18,0.0,-,-65,1404,0,0,195,291,289,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,2,,,,,56,65,95D50,71F,157110373,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10,,,,,,,,,,13,PRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,2,55,,,,,,,,,4G,,,,463,6300,-88,-11,,,4G,,,,449,6300,-93,-20,,,4G,,,,289,6300,-96,-18,,,4G,,,,196,6300,-96,-20,,,4G,,,,225,6300,-99,-20,,,4G,,,,246,1404,-103,-16,,,4G,,,,183,1404,-105,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.21.52.856,16.58301429,49.21704244,5,O2.CZ,23002,230020182300102,,613841,102,1823,4G,LTE,-102,-13,0.0,-,-71,1404,0,0,250,291,289,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,,HANDOVER_DATA_4G4G,230-02-1823-613712-101-1404-195:230-02-1823-613841-102-1404-250,,,71,66,95DD1,71F,157143398,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,0,70,,,,,,,,,4G,,,,463,6300,-75,-9,,,4G,,,,195,1404,-109,-16,,,4G,,,,246,1404,-113,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.21.53.615,16.58332392,49.21714567,5,O2.CZ,23002,230020182300102,,613841,102,1823,4G,LTE,-102,-13,0.0,-,-71,1404,0,0,250,293,291,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,,,,,,1,66,95DD1,71F,157143398,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,0,71,,,,,,,,,4G,,,,463,6300,-75,-9,,,4G,,,,195,1404,-109,-16,,,4G,,,,246,1404,-113,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.22.10.625,16.58364949,49.21723852,5,O2.CZ,23002,230020182300102,,613841,102,1823,4G,LTE,-96,-7,4.0,-,-71,1404,0,0,250,294,292,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,2,,,,,17,66,95DD1,71F,157143398,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,5,6,,,,,,,,,4G,,,,463,6300,-79,-8,,,4G,,,,195,1404,-104,-20,,,4G,,,,183,1404,-105,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.22.27.626,16.58397367,49.21733377,5,O2.CZ,23002,230020182300102,,613841,102,1823,4G,LTE,-94,-9,12.0,-,-67,1404,0,0,250,296,294,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,2,,,,,34,66,95DD1,71F,157143398,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,1,0,,,,,,,,,4G,,,,463,6300,-80,-9,,,4G,,,,415,6300,-89,-17,,,4G,,,,115,6300,-90,-17,,,4G,,,,26,1404,-97,-18,,,4G,,,,32,1404,-98,-19,,,4G,,,,195,1404,-102,-18,,,4G,,,,399,1404,-104,-20,,,4G,,,,480,1404,-106,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.22.44.634,16.58415303,49.21754126,5,O2.CZ,23002,230020182300102,,613841,102,1823,4G,LTE,-85,-7,12.0,-,-60,1404,10,2,250,298,296,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,1,,,,,50,66,95DD1,71F,157143398,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,7,13,,,,,,,,,4G,,,,463,6300,-73,-8,,,4G,,,,115,6300,-81,-18,,,4G,,,,399,1404,-94,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_09.23.00.638,16.58417626,49.21776886,5,O2.CZ,23002,230020182300102,,613841,102,1823,4G,LTE,-86,-11,12.0,-,-57,1404,0,0,250,298,296,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.111.4.166,1,,,,,65,66,95DD1,71F,157143398,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,98,NEPRAVDA,,NEPRAVDA,0,2,28,,,,,,,,,4G,,,,463,6300,-75,-9,,,4G,,,,32,1404,-87,-17,,,4G,,,,399,1404,-90,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
