Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.03_08.37.18.593,16.58207073,49.21671634,0,T-Mobile_CZ,23001,230012465600112,,606311,112,24656,4G,LTE,-90,-9,6.0,-,-61,500,0,0,54,295,293,15,G,I,,,,,,,,,,,,,1,,,-1,1000,10.55.31.170,,,,,,1,70,94067,6050,155215728,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,2,,,,,,,,,4G,,,,487,6200,-84,-10,,,4G,,,,425,1579,-86,-11,,,4G,,,,418,1579,-91,-16,,,4G,,,,322,6200,-93,-19,,,4G,,,,488,6200,-93,-19,,,4G,,,,33,1579,-93,-15,,,4G,,,,414,6200,-95,-19,,,4G,,,,467,1579,-96,-20,,,4G,,,,22,500,-98,-19,,,4G,,,,56,500,-99,-18,,,4G,,,,467,500,-100,-17,,,4G,,,,58,500,-104,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.38.02.120,16.58236819,49.21685182,5,T-Mobile_CZ,23001,230012465600112,,606311,112,24656,4G,LTE,-86,-9,14.0,-,-57,500,0,10,54,294,292,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,42,70,94067,6050,155215728,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,4,20,,,,,,,,,4G,,,,487,6200,-82,-9,,,4G,,,,425,1579,-83,-11,,,4G,,,,423,1579,-86,-18,,,4G,,,,322,6200,-90,-17,,,4G,,,,40,1579,-91,-17,,,4G,,,,488,6200,-92,-17,,,4G,,,,418,1579,-93,-20,,,4G,,,,58,500,-96,-17,,,4G,,,,56,500,-96,-18,,,4G,,,,467,500,-98,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.38.19.067,16.58268684,49.21696352,5,T-Mobile_CZ,23001,230012465600112,,606311,112,24656,4G,LTE,-85,-10,14.0,-,-55,500,0,9,54,295,293,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,58,70,94067,6050,155215728,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,36,,,,,,,,,4G,,,,487,6200,-78,-9,,,4G,,,,425,1579,-83,-12,,,4G,,,,418,1579,-90,-19,,,4G,,,,414,6200,-91,-20,,,4G,,,,58,500,-92,-17,,,4G,,,,40,1579,-93,-20,,,4G,,,,488,6200,-94,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.38.35.073,16.58301892,49.21706424,5,T-Mobile_CZ,23001,230012465600112,,606311,112,24656,4G,LTE,-77,-8,14.0,-,-49,500,0,4,54,298,296,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,73,70,94067,6050,155215728,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,51,,,,,,,,,4G,,,,487,6200,-72,-7,,,4G,,,,425,1579,-78,-11,,,4G,,,,394,6200,-84,-17,,,4G,,,,418,1579,-86,-19,,,4G,,,,58,500,-87,-16,,,4G,,,,423,1579,-87,-20,,,4G,,,,488,6200,-88,-20,,,4G,,,,40,1579,-89,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.38.50.066,16.58332947,49.2171677,5,T-Mobile_CZ,23001,230012465600112,,606311,112,24656,4G,LTE,-77,-10,14.0,-,-47,500,0,4,54,299,297,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,88,70,94067,6050,155215728,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,66,,,,,,,,,4G,,,,487,6200,-77,-9,,,4G,,,,425,1579,-79,-10,,,4G,,,,423,1579,-80,-16,,,4G,,,,33,1579,-83,-16,,,4G,,,,488,6200,-85,-18,,,4G,,,,56,500,-86,-17,,,4G,,,,492,6200,-86,-18,,,4G,,,,58,500,-87,-20,,,4G,,,,418,1579,-88,-15,,,4G,,,,40,1579,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.39.05.058,16.58365222,49.21725276,6,T-Mobile_CZ,23001,230012465600112,,606311,112,24656,4G,LTE,-74,-9,14.0,-,-45,500,0,0,54,298,296,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,102,70,94067,6050,155215728,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,80,,,,,,,,,4G,,,,487,6200,-73,-8,,,4G,,,,425,1579,-75,-13,,,4G,,,,488,6200,-76,-12,,,4G,,,,33,1579,-78,-16,,,4G,,,,56,500,-80,-15,,,4G,,,,418,1579,-80,-18,,,4G,,,,423,1579,-80,-18,,,4G,,,,394,6200,-81,-16,,,4G,,,,58,500,-83,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.39.14.785,16.58365222,49.21725276,6,T-Mobile_CZ,23001,230012465600111,,606311,111,24656,4G,LTE,-72,-9,8.0,-,-43,500,0,10,56,298,296,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,,,HANDOVER_DATA_4G4G,230-01-24656-606311-112-500-54:230-01-24656-606311-111-500-56,,,111,6F,94067,6050,155215727,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,89,,,,,,,,,4G,,,,492,6200,-69,-8,,,4G,,,,423,1579,-73,-10,,,4G,,,,425,1579,-75,-11,,,4G,,,,54,500,-76,-14,,,4G,,,,487,6200,-76,-13,,,4G,,,,418,1579,-77,-13,,,4G,,,,394,6200,-78,-19,,,4G,,,,58,500,-79,-17,,,4G,,,,488,6200,-84,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.39.20.074,16.58397626,49.21736353,6,T-Mobile_CZ,23001,230012465600111,,606311,111,24656,4G,LTE,-72,-9,8.0,-,-43,500,0,22,56,300,298,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,6,6F,94067,6050,155215727,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,5,,,,,,,,,4G,,,,492,6200,-69,-8,,,4G,,,,423,1579,-73,-10,,,4G,,,,425,1579,-75,-11,,,4G,,,,54,500,-76,-14,,,4G,,,,487,6200,-76,-13,,,4G,,,,418,1579,-77,-13,,,4G,,,,394,6200,-78,-19,,,4G,,,,58,500,-79,-17,,,4G,,,,488,6200,-84,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.39.36.062,16.5841569,49.2175691,6,T-Mobile_CZ,23001,230012465600111,,606311,111,24656,4G,LTE,-69,-8,8.0,-,-41,500,1,5,56,300,298,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,21,6F,94067,6050,155215727,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,20,,,,,,,,,4G,,,,492,6200,-69,-10,,,4G,,,,423,1579,-73,-12,,,4G,,,,487,6200,-75,-16,,,4G,,,,425,1579,-77,-15,,,4G,,,,394,6200,-77,-15,,,4G,,,,488,6200,-79,-18,,,4G,,,,388,6200,-82,-20,,,4G,,,,54,500,-83,-20,,,4G,,,,58,500,-84,-18,,,4G,,,,418,1579,-84,-20,,,4G,,,,486,500,-89,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.39.51.061,16.58417587,49.21779919,5,T-Mobile_CZ,23001,230012465600111,,606311,111,24656,4G,LTE,-68,-9,8.0,-,-39,500,0,9,56,301,299,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.55.31.170,0,,,,,35,6F,94067,6050,155215727,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,34,,,,,,,,,4G,,,,423,1579,-64,-9,,,4G,,,,492,6200,-64,-9,,,4G,,,,425,1579,-71,-15,,,4G,,,,35,1579,-72,-17,,,4G,,,,467,1579,-74,-20,,,4G,,,,388,6200,-77,-20,,,4G,,,,488,6200,-77,-19,,,4G,,,,394,6200,-78,-20,,,4G,,,,54,500,-82,-20,,,4G,,,,58,500,-83,-18,,,4G,,,,418,1579,-83,-20,,,4G,,,,486,500,-84,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
