Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.03_08.57.43.178,16.58059074,49.21985076,13,Vodafone_CZ,23003,230033802400001,,2435,1,38024,4G,LTE,-93,-10,-1.0,-,-63,1849,0,0,311,253,251,26,N,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,,LOG START,,,,1,1,983,9488,623361,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,403,1849,-101,-14,,,4G,,,,404,1849,-103,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.57.43.500,16.58048683,49.21968766,3,Vodafone_CZ,23003,230033802400001,,2435,1,38024,4G,LTE,-93,-10,-1.0,-,-63,1849,0,40,311,312,310,4,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,,,,,,1,1,983,9488,623361,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,PRAVDA,0,0,0,,,,,,,,,4G,,,,403,1849,-101,-14,,,4G,,,,404,1849,-103,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.58.04.551,16.58014669,49.21964834,5,Vodafone_CZ,23003,230033802400001,,2435,1,38024,4G,LTE,-94,-12,7.0,-,-62,1849,0,15,311,304,302,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,3,,,,,21,1,983,9488,623361,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,2,15,,,,,,,,,4G,,,,309,1849,-103,-19,,,4G,,,,97,1849,-104,-17,,,4G,,,,145,1849,-104,-19,,,4G,,,,404,1849,-105,-19,,,4G,,,,403,1849,-105,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.58.22.561,16.57985914,49.21952445,6,Vodafone_CZ,23003,230033802400001,,2435,1,38024,4G,LTE,-97,-14,7.0,-,-63,1849,0,14,311,301,299,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,3,,,,,39,1,983,9488,623361,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,33,,,,,,,,,4G,,,,145,1849,-98,-14,,,4G,,,,403,1849,-101,-15,,,4G,,,,97,1849,-101,-17,,,4G,,,,309,1849,-104,-19,,,4G,,,,404,1849,-105,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.58.37.507,16.57991997,49.21930276,6,Vodafone_CZ,23003,230033802400001,,2435,1,38024,4G,LTE,-93,-10,7.0,-,-63,1849,0,6,311,300,298,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,3,,,,,53,1,983,9488,623361,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,47,,,,,,,,,4G,,,,97,1849,-95,-10,,,4G,,,,145,1849,-100,-14,,,4G,,,,404,1849,-105,-19,,,4G,,,,309,1849,-106,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.58.47.250,16.57991997,49.21930276,6,Vodafone_CZ,23003,230033802400001,,2348,1,38024,4G,LTE,-90,-8,8.0,-,-62,1849,0,9,97,300,298,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,,HANDOVER_DATA_4G4G,230-03-38024-2435-1-1849-311:230-03-38024-2348-1-1849-97,,,62,1,92C,9488,601089,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,0,,,,,,,,,4G,,,,97,6400,-78,-8,,,4G,,,,311,1849,-96,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.58.53.511,16.57998843,49.21908012,6,Vodafone_CZ,23003,230033802400001,,2348,1,38024,4G,LTE,-90,-8,8.0,-,-62,1849,0,16,97,297,295,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,1,,,,,7,1,92C,9488,601089,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,7,,,,,,,,,4G,,,,97,6400,-78,-8,,,4G,,,,311,1849,-96,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.59.09.499,16.57979277,49.21889316,6,Vodafone_CZ,23003,230033802400001,,2348,1,38024,4G,LTE,-101,-11,8.0,-,-70,1849,0,14,97,296,294,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,1,,,,,22,1,92C,9488,601089,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,22,,,,,,,,,4G,,,,97,6400,-85,-9,,,4G,,,,298,6400,-101,-20,,,4G,,,,311,1849,-102,-13,,,4G,,,,403,1849,-106,-16,,,4G,,,,310,1849,-107,-17,,,4G,,,,404,1849,-109,-20,,,4G,,,,342,1849,-119,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.59.26.493,16.57963341,49.21868409,5,Vodafone_CZ,23003,230033802400001,,2348,1,38024,4G,LTE,-98,-9,8.0,-,-69,1849,0,7,97,298,296,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,1,,,,,38,1,92C,9488,601089,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,1,38,,,,,,,,,4G,,,,97,6400,-88,-7,,,4G,,,,298,6400,-97,-17,,,4G,,,,403,1849,-101,-16,,,4G,,,,311,1849,-102,-15,,,4G,,,,98,1849,-105,-20,,,4G,,,,404,1849,-107,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.03_08.59.42.495,16.57947909,49.2184702,5,Vodafone_CZ,23003,230033802400001,,2348,1,38024,4G,LTE,-93,-8,8.0,-,-65,1849,0,10,97,296,294,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.226.66.123,1,,,,,53,1,92C,9488,601089,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,53,,,,,,,,,4G,,,,97,6400,-79,-8,,,4G,,,,48,6400,-91,-19,,,4G,,,,49,6400,-96,-19,,,4G,,,,311,1849,-98,-15,,,4G,,,,145,1849,-100,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
