Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.21_19.33.40.133,16.61035564,49.19162932,4,T-Mobile_CZ,23001,230012460600112,,600011,112,24606,4G,4G,-80,-10,0.0,-,-50,500,-1,-1,328,0,-2,46,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,24,70,927CB,601E,153602928,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,31,,,,,,,,,4G,,,,17,1579,-82,-9,,,4G,,,,324,500,-87,-16,,,4G,,,,12,1579,-87,-14,,,4G,,,,489,3050,-87,-11,,,4G,,,,488,3050,-92,-17,,,4G,,,,493,3050,-93,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.33.59.074,16.61000288,49.19163185,4,T-Mobile_CZ,23001,230012460600112,,600011,112,24606,4G,4G,-82,-12,0.0,-,-50,500,-1,-1,328,283,281,10,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,42,70,927CB,601E,153602928,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,49,,,,,,,,,4G,,,,489,3050,-80,-11,,,4G,,,,12,1579,-81,-15,,,4G,,,,17,1579,-81,-15,,,4G,,,,489,500,-85,-16,,,4G,,,,286,1579,-85,-20,,,4G,,,,493,3050,-85,-13,,,4G,,,,324,500,-86,-14,,,4G,,,,487,500,-90,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.11.059,16.60967931,49.191713,5,T-Mobile_CZ,23001,230012460600112,,600011,112,24606,4G,4G,-83,-13,0.0,-,-50,500,-1,-1,328,268,266,5,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,54,70,927CB,601E,153602928,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20/20/20,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,61,,,,,,,,,4G,,,,12,1579,-77,-14,,,4G,,,,286,1579,-81,-17,,,4G,,,,290,1579,-81,-18,,,4G,,,,17,1579,-81,-17,,,4G,,,,489,3050,-82,-12,,,4G,,,,324,500,-84,-11,,,4G,,,,487,500,-86,-19,,,4G,,,,489,500,-87,-14,,,4G,,,,247,500,-87,-19,,,4G,,,,493,3050,-88,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.26.063,16.60943523,49.19187645,4,T-Mobile_CZ,23001,230012460600112,,600011,112,24606,4G,4G,-84,-13,3.0,-,-51,500,-1,-1,328,263,261,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,68,70,927CB,601E,153602928,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,4,,,,,,,,,4G,,,,12,1579,-82,-10,,,4G,,,,489,3050,-82,-11,,,4G,,,,17,1579,-84,-11,,,4G,,,,324,500,-85,-15,,,4G,,,,493,3050,-85,-12,,,4G,,,,487,500,-87,-17,,,4G,,,,290,1579,-88,-15,,,4G,,,,489,500,-90,-17,,,4G,,,,286,1579,-90,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.28.442,16.60943523,49.19187645,4,T-Mobile_CZ,23001,230012460600113,,600011,113,24606,4G,4G,-88,-14,3.0,-,-54,500,-1,-1,324,263,261,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24606-600011-112-500-328:230-01-24606-600011-113-500-324,,,70,71,927CB,601E,153602929,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,7,,,,,,,,,4G,,,,468,6200,-76,-11,,,4G,,,,465,6200,-82,-15,,,4G,,,,12,1579,-83,-14,,,4G,,,,50,6200,-83,-17,,,4G,,,,286,1579,-84,-15,,,4G,,,,17,1579,-85,-16,,,4G,,,,489,500,-88,-12,,,4G,,,,328,500,-90,-15,,,4G,,,,493,3050,-91,-14,,,4G,,,,290,1579,-91,-17,,,4G,,,,379,500,-93,-16,,,4G,,,,489,3050,-93,-15,,,4G,,,,487,500,-95,-19,,,4G,,,,488,3050,-97,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.38.882,16.60943523,49.19187645,4,T-Mobile_CZ,23001,230012460600112,,600151,112,24606,4G,4G,-86,-15,-2.0,-,-51,500,-1,-1,489,263,261,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24606-600011-113-500-324:230-01-24606-600151-112-500-489,,,10,70,92857,601E,153638768,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,3,,,,,,,,,4G,,,,50,6200,-80,-14,,,4G,,,,468,6200,-81,-13,,,4G,,,,12,1579,-84,-15,,,4G,,,,286,1579,-85,-18,,,4G,,,,324,500,-87,-16,,,4G,,,,487,500,-87,-17,,,4G,,,,335,500,-87,-17,,,4G,,,,466,6200,-87,-20,,,4G,,,,17,1579,-87,-16,,,4G,,,,328,500,-88,-19,,,4G,,,,28,6200,-88,-20,,,4G,,,,28,1579,-88,-18,,,4G,,,,290,1579,-88,-19,,,4G,,,,379,500,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.47.064,16.609134,49.19200025,4,T-Mobile_CZ,23001,230012460600112,,600151,112,24606,4G,4G,-86,-15,-2.0,-,-51,500,-1,-1,489,264,262,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,1,,,,,8,70,92857,601E,153638768,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,10,,,,,,,,,4G,,,,50,6200,-80,-14,,,4G,,,,468,6200,-81,-13,,,4G,,,,12,1579,-84,-15,,,4G,,,,286,1579,-85,-18,,,4G,,,,324,500,-87,-16,,,4G,,,,487,500,-87,-17,,,4G,,,,335,500,-87,-17,,,4G,,,,466,6200,-87,-20,,,4G,,,,17,1579,-87,-16,,,4G,,,,328,500,-88,-19,,,4G,,,,28,6200,-88,-20,,,4G,,,,28,1579,-88,-18,,,4G,,,,290,1579,-88,-19,,,4G,,,,379,500,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.59.731,16.609134,49.19200025,4,T-Mobile_CZ,23001,230012460600113,,600011,113,24606,4G,4G,-74,-10,3.0,-,-44,500,-1,-1,324,264,262,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24606-600151-112-500-489:230-01-24606-600011-113-500-324,,,20,71,927CB,601E,153602929,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,9,,,,,,,,,4G,,,,12,1579,-76,-14,,,4G,,,,489,500,-77,-12,,,4G,,,,19,1579,-78,-15,,,4G,,,,286,1579,-80,-18,,,4G,,,,290,1579,-81,-19,,,4G,,,,493,3050,-82,-12,,,4G,,,,335,500,-83,-18,,,4G,,,,488,3050,-85,-14,,,4G,,,,28,1579,-86,-20,,,4G,,,,487,500,-87,-20,,,4G,,,,51,3050,-89,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.35.07.054,16.60879051,49.19199963,3,T-Mobile_CZ,23001,230012460600113,,600011,113,24606,4G,4G,-74,-10,3.0,-,-44,500,-1,-1,324,268,266,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,7,71,927CB,601E,153602929,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,15,,,,,,,,,4G,,,,12,1579,-76,-14,,,4G,,,,489,500,-77,-12,,,4G,,,,19,1579,-78,-15,,,4G,,,,286,1579,-80,-18,,,4G,,,,290,1579,-81,-19,,,4G,,,,493,3050,-82,-12,,,4G,,,,335,500,-83,-18,,,4G,,,,488,3050,-85,-14,,,4G,,,,28,1579,-86,-20,,,4G,,,,487,500,-87,-20,,,4G,,,,51,3050,-89,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.35.27.062,16.60847716,49.19211758,5,T-Mobile_CZ,23001,230012460600113,,600011,113,24606,4G,4G,-76,-10,3.0,-,-46,500,-1,-1,324,268,266,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,27,71,927CB,601E,153602929,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,35,,,,,,,,,4G,,,,12,1579,-72,-12,,,4G,,,,493,3050,-75,-11,,,4G,,,,28,1579,-77,-17,,,4G,,,,19,1579,-79,-14,,,4G,,,,286,1579,-81,-20,,,4G,,,,335,500,-83,-17,,,4G,,,,489,500,-84,-17,,,4G,,,,379,500,-85,-19,,,4G,,,,488,3050,-96,-20,,,4G,,,,51,3050,-96,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
