Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.21_19.33.40.135,16.61035564,49.19162932,4,Vodafone_CZ,23003,230033802300003,,5637,3,38023,4G,4G,-75,-15,16.0,-,-40,1849,2,106,416,0,-2,46,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,24,3,1605,9487,1443075,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,57,,,,,,,,,4G,,,,416,6400,-60,-10,,,4G,,,,393,6400,-65,-14,,,4G,,,,416,300,-70,-4,,,4G,,,,393,1849,-74,-15,,,4G,,,,393,300,-80,-12,,,2G,,,,,0,-113,,,,2G,,,,,980,-113,,,,2G,,,,,990,-113,,,,2G,,,,,994,-113,,,,2G,,,,,1003,-113,,,,2G,,,,,992,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,986,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.33.47.699,16.61035564,49.19162932,4,Vodafone_CZ,23003,230033802300002,,2364,2,38023,4G,4G,-70,-11,16.0,-,-39,1849,1,71,393,0,-2,46,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,HANDOVER_DATA_4G4G,230-03-38023-5637-3-1849-416:230-03-38023-2364-2-1849-393,,,31,2,93C,9487,605186,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,65,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,393,300,-75,-9,,,4G,,,,416,1849,-76,-15,,,4G,,,,416,300,-83,-15,,,2G,,,,,0,-113,,,,2G,,,,,1021,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1004,-113,,,,2G,,,,,998,-113,,,,2G,,,,,975,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.33.59.074,16.61000288,49.19163185,4,Vodafone_CZ,23003,230033802300002,,2364,2,38023,4G,4G,-74,-9,16.0,-,-45,1849,2,39,393,283,281,10,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,42,2,93C,9487,605186,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,75,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,393,300,-75,-9,,,4G,,,,416,300,-83,-15,,,4G,,,,416,1849,-86,-20,,,2G,,,,,0,-113,,,,2G,,,,,1021,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1004,-113,,,,2G,,,,,998,-113,,,,2G,,,,,975,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.11.059,16.60967931,49.191713,5,Vodafone_CZ,23003,230033802300002,,2364,2,38023,4G,4G,-73,-16,16.0,-,-37,1849,0,59,393,268,266,5,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,54,2,93C,9487,605186,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,87,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,393,300,-75,-9,,,4G,,,,416,1849,-77,-20,,,4G,,,,416,300,-83,-15,,,2G,,,,,0,-113,,,,2G,,,,,1021,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1004,-113,,,,2G,,,,,998,-113,,,,2G,,,,,975,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.26.064,16.60943523,49.19187645,4,Vodafone_CZ,23003,230033802300002,,2364,2,38023,4G,4G,-75,-11,16.0,-,-44,1849,0,40,393,263,261,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,68,2,93C,9487,605186,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,101,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,393,300,-75,-9,,,4G,,,,395,1849,-78,-20,,,4G,,,,416,300,-83,-15,,,2G,,,,,0,-113,,,,2G,,,,,1021,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1004,-113,,,,2G,,,,,998,-113,,,,2G,,,,,975,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.47.064,16.609134,49.19200025,4,Vodafone_CZ,23003,230033802300002,,2364,2,38023,4G,4G,-82,-17,16.0,-,-45,1849,0,22,393,264,262,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,8,2,93C,9487,605186,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,121,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,393,300,-75,-9,,,4G,,,,416,300,-83,-15,,,4G,,,,395,1849,-84,-15,,,2G,,,,,0,-113,,,,2G,,,,,1021,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1004,-113,,,,2G,,,,,998,-113,,,,2G,,,,,975,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.34.50.386,16.609134,49.19200025,4,Vodafone_CZ,23003,230033802300001,,2364,1,38023,4G,4G,-71,-10,16.0,-,-41,1849,0,24,395,264,262,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,HANDOVER_DATA_4G4G,230-03-38023-2364-2-1849-393:230-03-38023-2364-1-1849-395,,,11,1,93C,9487,605185,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,124,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,393,1849,-77,-14,,,4G,,,,416,300,-81,-13,,,4G,,,,395,300,-84,-15,,,4G,,,,393,300,-87,-17,,,4G,,,,394,300,-87,-20,,,2G,,,,,0,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,981,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.35.07.050,16.60879051,49.19199963,3,Vodafone_CZ,23003,230033802300001,,2364,1,38023,4G,4G,-66,-9,16.0,-,-37,1849,0,6,395,268,266,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,7,1,93C,9487,605185,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,140,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,393,1849,-77,-14,,,4G,,,,416,300,-81,-13,,,4G,,,,395,300,-84,-15,,,4G,,,,393,300,-87,-17,,,4G,,,,394,300,-87,-20,,,2G,,,,,0,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,981,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.35.27.062,16.60847716,49.19211758,5,Vodafone_CZ,23003,230033802300001,,2364,1,38023,4G,4G,-67,-8,16.0,-,-39,1849,0,20,395,268,266,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,27,1,93C,9487,605185,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,160,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,416,300,-81,-13,,,4G,,,,393,1849,-83,-20,,,4G,,,,395,300,-84,-15,,,4G,,,,393,300,-87,-17,,,4G,,,,394,300,-87,-20,,,2G,,,,,0,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,981,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.21_19.35.44.042,16.60828846,49.19231354,5,Vodafone_CZ,23003,230033802300001,,2364,1,38023,4G,4G,-65,-8,16.0,-,-37,1849,1,23,395,268,266,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,100.124.85.181,,,,,,43,1,93C,9487,605185,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,1,176,,,,,,,,,4G,,,,416,6400,-68,-10,,,4G,,,,393,6400,-72,-15,,,4G,,,,394,1849,-79,-16,,,4G,,,,416,300,-81,-13,,,4G,,,,395,300,-84,-15,,,4G,,,,393,300,-87,-17,,,4G,,,,394,300,-87,-20,,,2G,,,,,0,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,981,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,980,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
