Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.04_09.21.14.252,16.57941142,49.24675388,0,T-Mobile_CZ,23001,2.30012E+14,,606421,23,24656,4G,4G,-65,-7,18.0,-,-38,1579,-1,-1,398,361,359,10,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,LOG START,,,,2,17,940D5,6050,155243799,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,PRAVDA,0,0,1,,,,,,,,,4G,,,,42,6200,-65,-9,,,4G,,,,465,500,-71,-9,,,4G,,,,388,1579,-76,-18,,,4G,,,,468,500,-78,-17,,,4G,,,,467,500,-79,-17,,,4G,,,,43,6200,-79,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.21.38.599,16.57971802,49.24663324,5,T-Mobile_CZ,23001,2.30012E+14,,606421,23,24656,4G,4G,-71,-9,18.0,-,-42,1579,-1,-1,398,328,326,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,25,17,940D5,6050,155243799,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,0,24,,,,,,,,,4G,,,,42,6200,-73,-10,,,4G,,,,465,500,-78,-11,,,4G,,,,46,1579,-81,-17,,,4G,,,,388,1579,-82,-18,,,4G,,,,43,6200,-82,-18,,,4G,,,,468,500,-85,-18,,,4G,,,,467,500,-85,-20,,,4G,,,,52,6200,-92,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.21.56.651,16.57983862,49.24641877,6,T-Mobile_CZ,23001,2.30012E+14,,606421,23,24656,4G,4G,-80,-9,18.0,-,-51,1579,-1,-1,398,325,323,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,42,17,940D5,6050,155243799,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,8,42,,,,,,,,,4G,,,,465,500,-78,-7,,,4G,,,,42,6200,-80,-8,,,4G,,,,389,1579,-87,-19,,,4G,,,,43,6200,-91,-19,,,4G,,,,52,6200,-92,-20,,,4G,,,,468,500,-95,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.22.15.632,16.58004477,49.24623266,5,T-Mobile_CZ,23001,2.30012E+14,,606421,23,24656,4G,4G,-83,-10,18.0,-,-53,1579,-1,-1,398,331,329,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,61,17,940D5,6050,155243799,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,6,60,,,,,,,,,4G,,,,465,500,-85,-8,,,4G,,,,42,6200,-89,-17,,,4G,,,,389,1579,-91,-18,,,4G,,,,21,500,-92,-15,,,4G,,,,52,6200,-92,-17,,,4G,,,,467,500,-95,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.22.32.638,16.58022134,49.24602967,5,T-Mobile_CZ,23001,2.30012E+14,,606421,23,24656,4G,4G,-90,-12,18.0,-,-58,1579,-1,-1,398,332,330,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,1,,,,,77,17,940D5,6050,155243799,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,1,76,,,,,,,,,4G,,,,465,500,-88,-7,,,4G,,,,310,6200,-93,-19,,,4G,,,,42,6200,-94,-13,,,4G,,,,389,1579,-95,-15,,,4G,,,,52,6200,-95,-16,,,4G,,,,21,500,-97,-17,,,4G,,,,401,1579,-98,-18,,,4G,,,,477,6200,-98,-19,,,4G,,,,46,1579,-100,-18,,,4G,,,,467,500,-100,-16,,,4G,,,,427,500,-102,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.22.41.578,16.58022134,49.24602967,5,T-Mobile_CZ,23001,2.30012E+14,,606421,22,24656,4G,4G,-91,-13,6.0,-,-58,1579,-1,-1,389,332,330,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24656-606421-23-1579-398:230-01-24656-606421-22-1579-389,,,85,16,940D5,6050,155243798,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,0,0,,,,,,,,,4G,,,,42,6200,-90,-12,,,4G,,,,52,6200,-92,-16,,,4G,,,,398,1579,-94,-15,,,4G,,,,46,1579,-95,-19,,,4G,,,,310,6200,-95,-19,,,4G,,,,21,500,-95,-20,,,4G,,,,427,500,-95,-13,,,4G,,,,401,1579,-96,-16,,,4G,,,,465,500,-97,-14,,,4G,,,,467,500,-99,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.22.48.639,16.58033859,49.24580876,4,T-Mobile_CZ,23001,2.30012E+14,,606421,22,24656,4G,4G,-91,-13,9.0,-,-58,1579,-1,-1,389,329,327,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,1,,,,,7,16,940D5,6050,155243798,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,7,2,,,,,,,,,4G,,,,42,6200,-90,-12,,,4G,,,,52,6200,-92,-16,,,4G,,,,398,1579,-94,-15,,,4G,,,,46,1579,-95,-19,,,4G,,,,310,6200,-95,-19,,,4G,,,,21,500,-95,-20,,,4G,,,,427,500,-95,-13,,,4G,,,,401,1579,-96,-16,,,4G,,,,465,500,-97,-14,,,4G,,,,467,500,-99,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.23.04.621,16.58050024,49.24559903,5,T-Mobile_CZ,23001,2.30012E+14,,606421,22,24656,4G,4G,-91,-12,9.0,-,-59,1579,-1,-1,389,329,327,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,1,,,,,23,16,940D5,6050,155243798,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,3,15,,,,,,,,,4G,,,,398,1579,-92,-13,,,4G,,,,42,6200,-92,-13,,,4G,,,,52,6200,-93,-17,,,4G,,,,467,500,-95,-10,,,4G,,,,401,1579,-97,-18,,,4G,,,,301,1579,-97,-18,,,4G,,,,465,500,-97,-15,,,4G,,,,310,6200,-97,-20,,,4G,,,,427,500,-101,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.23.11.781,16.58050024,49.24559903,5,T-Mobile_CZ,23001,2.30012E+14,,606421,23,24656,4G,4G,-96,-15,8.0,-,-61,1579,-1,-1,398,329,327,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-01-24656-606421-22-1579-389:230-01-24656-606421-23-1579-398,,,29,17,940D5,6050,155243799,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,0,6,,,,,,,,,4G,,,,401,1579,-96,-14,,,4G,,,,310,6200,-96,-20,,,4G,,,,465,500,-97,-17,,,4G,,,,389,1579,-98,-15,,,4G,,,,427,500,-98,-18,,,4G,,,,467,500,-98,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.23.21.634,16.58067793,49.24538996,5,T-Mobile_CZ,23001,2.30012E+14,,606421,23,24656,4G,4G,-96,-15,10.0,-,-61,1579,-1,-1,398,333,331,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,0,,,,,10,17,940D5,6050,155243799,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,9,15,,,,,,,,,4G,,,,401,1579,-96,-14,,,4G,,,,310,6200,-96,-20,,,4G,,,,465,500,-97,-17,,,4G,,,,389,1579,-98,-15,,,4G,,,,427,500,-98,-18,,,4G,,,,467,500,-98,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
