Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.04_09.21.14.085,16.57941142,49.24675388,0,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-75,-7,22.0,-,-48,1849,8,155,464,361,359,10,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,LOG START,,,,2,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,PRAVDA,0,0,1,,,,,,,,,4G,,,,22,1849,-96,-20,,,4G,,,,130,1849,-99,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.21.38.599,16.57971802,49.24663324,5,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-75,-11,22.0,-,-44,1849,2,99,464,328,326,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,25,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,9,24,,,,,,,,,4G,,,,130,1849,-86,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.21.56.652,16.57983862,49.24641877,6,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-73,-10,22.0,-,-43,1849,0,8,464,325,323,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,42,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,7,42,,,,,,,,,4G,,,,130,1849,-99,-20,,,4G,,,,22,1849,-104,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.22.15.633,16.58004477,49.24623266,5,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-83,-8,22.0,-,-55,1849,0,19,464,331,329,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,61,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,5,60,,,,,,,,,4G,,,,130,1849,-99,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.22.32.637,16.58022134,49.24602967,5,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-77,-9,22.0,-,-48,1849,0,14,464,332,330,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,77,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,0,76,,,,,,,,,4G,,,,476,1849,-88,-20,,,4G,,,,130,1849,-88,-20,,,4G,,,,22,1849,-92,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.22.48.639,16.58033859,49.24580876,4,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-73,-9,22.0,-,-44,1849,0,9,464,329,327,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,7,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,6,91,,,,,,,,,4G,,,,476,1849,-81,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.23.04.621,16.58050024,49.24559903,5,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-79,-6,22.0,-,-53,1849,1,50,464,329,327,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,23,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,1,107,,,,,,,,,4G,,,,130,1849,-96,-17,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.23.21.635,16.58067793,49.24538996,5,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-87,-8,22.0,-,-59,1849,0,29,464,333,331,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,10,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,8,123,,,,,,,,,4G,,,,130,1849,-98,-16,,,4G,,,,476,1849,-101,-19,,,4G,,,,22,1849,-106,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.23.35.635,16.58070678,49.24515669,5,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-85,-8,22.0,-,-57,1849,0,2,464,323,321,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,12,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,0,136,,,,,,,,,4G,,,,130,1849,-87,-9,,,4G,,,,22,1849,-99,-20,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.04_09.23.51.608,16.58087621,49.24495214,6,Vodafone_CZ,23003,2.30034E+14,,3123,3,38032,4G,4G,-88,-7,22.0,-,-61,1849,0,14,464,325,323,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,100.110.198.27,,,,,,27,3,C33,9490,799491,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,93,NEPRAVDA,,NEPRAVDA,0,7,152,,,,,,,,,4G,,,,130,1849,-94,-10,,,4G,,,,476,1849,-103,-18,,,2G,,,,,0,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,978,-113,,,,2G,,,,,977,-113,,,,2G,,,,,1001,-113,,,,2G,,,,,999,-113,,,,2G,,,,,991,-113,,,,2G,,,,,997,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
