Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
2025.05.08_10.57.44.706,16.42649847,49.35411374,0,T-Mobile_CZ,23001,2.30013E+14,,928491,21,25400,5G,5G NSA,-101,-13,6.0,-,-,154570,0,10,278,0,-2,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,11,LOG START,,,,76,15,E2AEB,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20,,928491,21,-112,-17,0.0,,,,13,NEPRAVDA,278,1579,L3,1000,100,NEPRAVDA,,PRAVDA,0,0,3,,,,,,,,,4G,,928491-21,25400,278,1579,-112,-17,,,4G,,,,240,1579,-113,-17,,,4G,,,,486,500,-114,-15,,,4G,,,,492,500,-116,-18,,,4G,,,,129,500,-116,-20,,,4G,,,,493,500,-117,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_10.57.44.827,16.42649969,49.35411646,0,T-Mobile_CZ,23001,2.30013E+14,,928491,21,25400,5G,5G NSA,-101,-13,6.0,-,-,154570,0,10,278,352,350,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,11,,,,,76,15,E2AEB,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20,,928491,21,-112,-17,0.0,,,,13,NEPRAVDA,278,1579,L3,1000,100,NEPRAVDA,,PRAVDA,0,0,3,,,,,,,,,4G,,928491-21,25400,278,1579,-112,-17,,,4G,,,,240,1579,-113,-17,,,4G,,,,486,500,-114,-15,,,4G,,,,492,500,-116,-18,,,4G,,,,129,500,-116,-20,,,4G,,,,493,500,-117,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.18.36.375,16.42649491,49.35411924,0,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-108,-15,3.0,-,-73,1579,0,13,278,352,350,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,,IRAT_HANDOVER_DATA_5G4G,230-01-25400-928491-21-154570-278:230-02-25400-928491-21-1579-278,,,1266,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,9,,,,,,,,,4G,,,,428,6200,-101,-12,,,4G,,,,345,6200,-108,-20,,,4G,,,,492,500,-113,-13,,,4G,,,,493,500,-113,-17,,,4G,,,,240,1579,-114,-15,,,4G,,,,129,500,-116,-20,,,4G,,,,398,1579,-119,-18,,,4G,,,,486,500,-126,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.20.30.820,16.42582341,49.35401808,11,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,5G,5G NSA,-94,-12,-,-,-,1579,0,51,278,351,349,9,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,11,,,,,109,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20,,928491,21,-116,-20,-7.0,,,,13,NEPRAVDA,278,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,8,6,,,,,,,,,4G,,928491-21,25400,278,1579,-116,-20,,,4G,,,,428,6200,-105,-13,,,4G,,,,345,6200,-111,-19,,,4G,,,,426,6200,-112,-20,,,4G,,,,240,1579,-113,-17,,,4G,,,,486,500,-113,-11,,,4G,,,,473,1579,-114,-19,,,4G,,,,50,1579,-115,-19,,,4G,,,,277,6200,-117,-19,,,4G,,,,129,500,-119,-16,,,4G,,,,492,500,-125,-17,,,4G,,,,493,500,-125,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.20.31.938,16.42582341,49.35401808,11,T-Mobile_CZ,23001,2.30013E+14,,928462,21,25400,5G,5G NSA,-94,-12,6.0,-,-,154570,4,24,240,351,349,9,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,,IRAT_HANDOVER_DATA_4G5G,230-02-25400-928491-21-1579-278:230-01-25400-928462-21-154570-240,,,110,15,E2ACE,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20,,928462,21,-110,-15,-7.0,,,,13,NEPRAVDA,240,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,0,8,,,,,,,,,4G,,928462-21,25400,240,1579,-110,-15,,,4G,,,,473,1579,-114,-19,,,4G,,,,278,1579,-119,-19,,,4G,,,,486,500,-121,-14,,,4G,,,,492,500,-121,-16,,,4G,,,,487,500,-121,-17,,,4G,,,,435,500,-122,-18,,,4G,,,,129,500,-123,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.20.41.829,16.42596276,49.35354807,24,T-Mobile_CZ,23001,2.30013E+14,,928462,21,25400,5G,5G NSA,-94,-12,6.0,-,-,154570,0,4,240,348,346,9,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,3,,,,,10,15,E2ACE,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20,,928462,21,-110,-15,-7.0,,,,13,NEPRAVDA,240,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,9,17,,,,,,,,,4G,,928462-21,25400,240,1579,-110,-15,,,4G,,,,473,1579,-114,-19,,,4G,,,,278,1579,-119,-19,,,4G,,,,486,500,-121,-14,,,4G,,,,492,500,-121,-16,,,4G,,,,487,500,-121,-17,,,4G,,,,435,500,-122,-18,,,4G,,,,129,500,-123,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.20.48.823,16.42579027,49.35311077,21,T-Mobile_CZ,23001,2.30013E+14,,928462,21,25400,5G,5G NSA,-94,-12,6.0,-,-,154570,0,4,240,346,344,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,3,,,,,17,15,E2ACE,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20,,928462,21,-112,-17,-7.0,,,,13,NEPRAVDA,240,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,6,24,,,,,,,,,4G,,928462-21,25400,240,1579,-112,-17,,,4G,,,,473,1579,-110,-17,,,4G,,,,278,1579,-114,-17,,,4G,,,,50,1579,-116,-20,,,4G,,,,486,500,-117,-14,,,4G,,,,492,500,-117,-15,,,4G,,,,277,1579,-120,-20,,,4G,,,,129,500,-123,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.20.59.834,16.42554405,49.35261881,30,T-Mobile_CZ,23001,2.30013E+14,,928462,21,25400,5G,5G NSA,-94,-12,6.0,-,-,154570,1,22,240,341,339,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,3,,,,,27,15,E2ACE,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20,,928462,21,-108,-20,-7.0,,,,13,NEPRAVDA,240,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,6,34,,,,,,,,,4G,,928462-21,25400,240,1579,-108,-20,,,4G,,,,50,1579,-108,-19,,,4G,,,,278,1579,-111,-20,,,4G,,,,487,500,-112,-18,,,4G,,,,492,500,-115,-14,,,4G,,,,486,500,-117,-18,,,4G,,,,129,500,-118,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.21.03.525,16.42554405,49.35261881,30,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-99,-18,-1.0,-,-61,1579,0,14,278,341,339,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,,IRAT_HANDOVER_DATA_5G4G,230-01-25400-928462-21-154570-240:230-02-25400-928491-21-1579-278,,,30,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,3,,,,,,,,,4G,,,,240,1579,-101,-19,,,4G,,,,428,6200,-103,-13,,,4G,,,,347,6200,-105,-19,,,4G,,,,345,6200,-107,-17,,,4G,,,,492,500,-109,-14,,,4G,,,,486,500,-110,-18,,,4G,,,,493,500,-111,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.21.04.847,16.42510549,49.35223667,40,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-99,-18,-1.0,-,-61,1579,0,4,278,339,337,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.12.108.115,10,,,,,2,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,1,4,,,,,,,,,4G,,,,240,1579,-101,-19,,,4G,,,,428,6200,-103,-13,,,4G,,,,347,6200,-105,-19,,,4G,,,,345,6200,-107,-17,,,4G,,,,492,500,-109,-14,,,4G,,,,486,500,-110,-18,,,4G,,,,493,500,-111,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
