Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86
2025.05.08_10.57.40.356,16.42648331,49.35410661,0,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-111,-17,0.0,-,-74,1579,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,11,LOG START,,,,14,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,8,,,,,,,,,4G,,,,428,6200,-104,-13,,,4G,,,,345,6200,-107,-16,,,4G,,,,277,6200,-109,-17,,,4G,,,,240,1579,-110,-16,,,4G,,,,473,1579,-110,-18,,,4G,,,,492,500,-112,-17,,,4G,,,,486,500,-116,-19,,,4G,,,,129,500,-119,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.02.39.733,16.42647965,49.3541012,0,T-Mobile_CZ,23001,2.30013E+14,,928491,21,25400,5G,5G NSA,-98,-15,7.0,-,-,154570,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_4G5G,230-02-25400-928491-21-1579-278:230-01-25400-928491-21-154570-278,,,299,15,E2AEB,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20/20/10,,928491,21,-108,-16,-2.0,,,,13,PRAVDA,278,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,0,5,,,,,,,,,4G,,928491-21,25400,278,1579,-108,-16,,,4G,,,,240,1579,-110,-17,,,4G,,,,492,500,-111,-16,,,4G,,,,486,500,-111,-16,,,4G,,,,473,1579,-113,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.02.50.204,16.42647965,49.3541012,0,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-107,-16,-2.0,-,-71,1579,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_5G4G,230-01-25400-928491-21-154570-278:230-02-25400-928491-21-1579-278,,,10,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,1,,,,,,,,,4G,,,,428,6200,-100,-13,,,4G,,,,277,6200,-106,-20,,,4G,,,,345,6200,-107,-18,,,4G,,,,473,1579,-110,-17,,,4G,,,,486,500,-110,-12,,,4G,,,,492,500,-115,-18,,,4G,,,,240,1579,-116,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.05.06.632,16.42647965,49.3541012,0,T-Mobile_CZ,23001,2.30013E+14,,928491,21,25400,5G,5G NSA,-97,-11,7.0,-,-,154570,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_4G5G,230-02-25400-928491-21-1579-278:230-01-25400-928491-21-154570-278,,,130,15,E2AEB,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20/20/10,,928491,21,-105,-19,2.0,,,,13,PRAVDA,278,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,0,4,,,,,,,,,4G,,928491-21,25400,278,1579,-105,-19,,,4G,,,,50,1579,-107,-17,,,4G,,,,473,1579,-111,-18,,,4G,,,,492,500,-111,-15,,,4G,,,,486,500,-111,-15,,,4G,,,,240,1579,-113,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.05.17.153,16.42647965,49.3541012,0,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-107,-18,-3.0,-,-69,1579,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_5G4G,230-01-25400-928491-21-154570-278:230-02-25400-928491-21-1579-278,,,10,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,3,,,,,,,,,4G,,,,240,1579,-113,-20,,,2G,,,,,12,-113,,,,2G,,,,,6,-113,,,,2G,,,,,59,-113,,,,2G,,,,,56,-113,,,,2G,,,,,54,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,2G,,,,,44,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.06.09.632,16.42647965,49.3541012,0,T-Mobile_CZ,23001,2.30013E+14,,928491,21,25400,5G,5G NSA,-97,-11,7.0,-,-,154570,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_4G5G,230-02-25400-928491-21-1579-278:230-01-25400-928491-21-154570-278,,,50,15,E2AEB,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20/20/10,,928491,21,-109,-19,-3.0,,,,20,PRAVDA,278,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,0,53,,,,,,,,,4G,,928491-21,25400,278,1579,-109,-19,,,4G,,,,492,500,-110,-18,,,4G,,,,240,1579,-111,-18,,,4G,,,,473,1579,-111,-20,,,4G,,,,486,500,-113,-17,,,4G,,,,488,500,-116,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.06.20.145,16.42647965,49.3541012,0,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-109,-14,1.0,-,-75,1579,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_5G4G,230-01-25400-928491-21-154570-278:230-02-25400-928491-21-1579-278,,,10,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,1,,,,,,,,,4G,,,,398,1579,-111,-20,,,4G,,,,240,1579,-113,-14,,,4G,,,,277,1579,-113,-20,,,2G,,,,,12,-113,,,,2G,,,,,6,-113,,,,2G,,,,,59,-113,,,,2G,,,,,56,-113,,,,2G,,,,,54,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,2G,,,,,44,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.08.36.619,16.42647965,49.3541012,0,T-Mobile_CZ,23001,2.30013E+14,,928491,21,25400,5G,5G NSA,-97,-11,7.0,-,-,154570,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,,,IRAT_CELL_RESELECTION_4G5G,230-02-25400-928491-21-1579-278:230-01-25400-928491-21-154570-278,,,130,15,E2AEB,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20/20/10,,928491,21,-109,-14,1.0,,,,20,PRAVDA,278,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,0,130,,,,,,,,,4G,,928491-21,25400,278,1579,-109,-14,,,4G,,,,492,500,-108,-12,,,4G,,,,240,1579,-112,-12,,,4G,,,,486,500,-114,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.08.47.133,16.42647965,49.3541012,0,T-Mobile_CZ,23002,2.30023E+14,,928491,21,25400,4G,LTE,-109,-19,-1.0,-,-70,1579,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_5G4G,230-01-25400-928491-21-154570-278:230-02-25400-928491-21-1579-278,,,10,15,E2AEB,6338,237693717,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,L3,20/20/10,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,2,,,,,,,,,4G,,,,240,1579,-113,-20,,,2G,,,,,12,-113,,,,2G,,,,,6,-113,,,,2G,,,,,59,-113,,,,2G,,,,,56,-113,,,,2G,,,,,54,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,2G,,,,,44,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.05.08_11.13.30.410,16.42647965,49.3541012,0,T-Mobile_CZ,23001,2.30013E+14,,928491,21,25400,5G,5G NSA,-100,-14,7.0,-,-,154570,0,0,278,351,349,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.80.165.20,,IRAT_CELL_RESELECTION_4G5G,230-02-25400-928491-21-1579-278:230-01-25400-928491-21-154570-278,,,270,15,E2AEB,6338,2147483647,32.4,616,Xiaomi:23113RKC6G:AQ3A.240912.001,N28,20/20/10,,928491,21,-106,-17,3.0,,,,20,PRAVDA,278,1579,L3,1000,100,NEPRAVDA,,NEPRAVDA,0,0,0,,,,,,,,,4G,,928491-21,25400,278,1579,-106,-17,,,4G,,,,492,500,-107,-18,,,4G,,,,240,1579,-110,-19,,,4G,,,,486,500,-114,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
