Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.25_09.22.28.784,16.46071756,50.09058044,27,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-84,-14,21.0,-,-50,1579,-1,-1,224,455,453,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,3,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,1,2,,,,,,,,,4G,,,,154,1579,-84,-17,,,4G,,,,311,6200,-92,-14,,,4G,,,,263,6200,-94,-15,,,4G,,,,261,6200,-95,-17,,,4G,,,,188,6200,-97,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.31.017,16.46104321,50.09042628,39,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-86,-12,21.0,-,-54,1579,-1,-1,224,454,452,6,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,5,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,4,,,,,,,,,4G,,,,228,1579,-88,-17,,,4G,,,,311,6200,-94,-14,,,4G,,,,261,6200,-100,-15,,,4G,,,,263,6200,-100,-18,,,4G,,,,188,6200,-103,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.34.049,16.46138332,50.09019703,46,T-Mobile_CZ,23001,2.30011E+14,,923802,21,13630,4G,4G,-82,-17,21.0,-,-45,1579,-1,-1,224,452,450,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,7,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,1,6,,,,,,,,,4G,,,,228,1579,-81,-17,,,4G,,,,261,6200,-91,-15,,,4G,,,,311,6200,-94,-16,,,4G,,,,263,6200,-95,-18,,,4G,,,,188,6200,-100,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.36.038,16.46160813,50.09002488,44,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-82,-17,21.0,-,-45,1579,-1,-1,224,453,451,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,9,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,8,,,,,,,,,4G,,,,228,1579,-81,-17,,,4G,,,,261,6200,-91,-15,,,4G,,,,311,6200,-94,-16,,,4G,,,,263,6200,-95,-18,,,4G,,,,188,6200,-100,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.39.058,16.46192716,50.08977481,41,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-82,-17,21.0,-,-45,1579,-1,-1,224,453,451,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,12,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,11,,,,,,,,,4G,,,,228,1579,-81,-17,,,4G,,,,261,6200,-91,-15,,,4G,,,,311,6200,-94,-16,,,4G,,,,263,6200,-95,-18,,,4G,,,,188,6200,-100,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.42.025,16.4621673,50.08952532,37,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-82,-17,21.0,-,-45,1579,-1,-1,224,451,449,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,15,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,9,14,,,,,,,,,4G,,,,228,1579,-81,-17,,,4G,,,,261,6200,-91,-15,,,4G,,,,311,6200,-94,-16,,,4G,,,,263,6200,-95,-18,,,4G,,,,188,6200,-100,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.45.022,16.46243401,50.08930571,36,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-86,-13,21.0,-,-53,1579,-1,-1,224,451,449,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,18,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,2,17,,,,,,,,,4G,,,,223,1579,-88,-17,,,4G,,,,261,6200,-89,-12,,,4G,,,,263,6200,-93,-18,,,4G,,,,311,6200,-100,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.48.024,16.46266344,50.08911139,28,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-86,-13,21.0,-,-53,1579,-1,-1,224,452,450,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,21,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,20,,,,,,,,,4G,,,,223,1579,-88,-17,,,4G,,,,261,6200,-89,-12,,,4G,,,,263,6200,-93,-18,,,4G,,,,311,6200,-100,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.54.047,16.46283629,50.08891061,19,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-80,-14,21.0,-,-46,1579,-1,-1,224,453,451,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,27,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,1,26,,,,,,,,,4G,,,,222,1579,-87,-18,,,4G,,,,261,6200,-89,-13,,,4G,,,,263,6200,-97,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.23.00.018,16.46300729,50.08868555,15,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-80,-14,21.0,-,-46,1579,-1,-1,224,454,452,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,3,,,,,32,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.10.2026,,,,,,,,,,13,PRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,6,31,,,,,,,,,4G,,,,222,1579,-87,-18,,,4G,,,,261,6200,-89,-13,,,4G,,,,263,6200,-97,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
