Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.25_09.22.28.784,16.46071756,50.09058044,27,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-78,-10,9.0,-,-48,1849,17,77,359,455,453,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,10.13.42.90,,,,,,3,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,1,2,,,,,,,,,4G,,,,358,1849,-81,-16,,,4G,,,,357,1849,-91,-20,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.31.018,16.46104321,50.09042628,39,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-76,-12,9.0,-,-44,1849,4,34,359,454,452,6,G,D,,,,,,,,,,,M,,1,,,-1,1000,10.13.42.90,,,,,,5,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,PRAVDA,0,0,4,,,,,,,,,4G,,,,358,1849,-89,-9,,,4G,,,,357,1849,-101,-18,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.34.042,16.46138332,50.09019703,46,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-76,-12,9.0,-,-44,1849,6,75,359,452,450,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,10.13.42.90,,,,,,7,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,6,,,,,,,,,4G,,,,358,1849,-89,-9,,,4G,,,,357,1849,-101,-18,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.36.026,16.46160813,50.09002488,44,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-76,-12,7.0,-,-44,1849,5,118,359,453,451,3,G,D,,,,,,,,,,,M,,1,,,-1,1000,10.13.42.90,,,,,,9,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,5,0,,,,,,,,,4G,,,,358,1849,-89,-9,,,4G,,,,357,1849,-101,-18,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.39.060,16.46192716,50.08977481,41,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-76,-12,7.0,-,-44,1849,0,43,359,453,451,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.13.42.90,,,,,,12,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,8,3,,,,,,,,,4G,,,,358,1849,-89,-9,,,4G,,,,357,1849,-101,-18,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.42.022,16.4621673,50.08952532,37,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-80,-14,7.0,-,-46,1849,0,48,359,451,449,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.13.42.90,,,,,,15,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,6,,,,,,,,,4G,,,,358,1849,-84,-7,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.45.020,16.46243401,50.08930571,36,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-80,-14,7.0,-,-46,1849,0,78,359,451,449,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.13.42.90,,,,,,18,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,4,9,,,,,,,,,4G,,,,358,1849,-84,-7,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.48.026,16.46266344,50.08911139,28,Vodafone_CZ,23003,2.30034E+14,,4277,5,38012,4G,4G,-80,-14,7.0,-,-46,1849,0,34,359,452,450,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.13.42.90,,,,,,21,5,10B5,947C,1094917,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,7,12,,,,,,,,,4G,,,,358,1849,-84,-7,,,2G,,,,,0,-113,,,,2G,,,,,996,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,1019,-113,,,,2G,,,,,986,-113,,,,2G,,,,,1007,-113,,,,2G,,,,,989,-113,,,,2G,,,,,1001,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.50.844,16.46266344,50.08911139,28,Vodafone_CZ,23003,2.30034E+14,,4277,6,38012,4G,4G,-80,-10,7.0,-,-50,1849,0,71,358,452,450,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.13.42.90,,CELL_RESELECTION_4G4G,230-03-38012-4277-5-1849-359:230-03-38012-4277-6-1849-358,,,23,6,10B5,947C,1094918,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,0,14,,,,,,,,,4G,,,,359,1849,-89,-18,,,2G,,,,,0,-113,,,,2G,,,,,983,-113,,,,2G,,,,,1018,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,979,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_09.22.54.048,16.46283629,50.08891061,19,Vodafone_CZ,23003,2.30034E+14,,4277,6,38012,4G,4G,-80,-10,7.0,-,-50,1849,2,85,358,453,451,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.13.42.90,,,,,,27,6,10B5,947C,1094918,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,NEPRAVDA,,,,1000,100,NEPRAVDA,,NEPRAVDA,0,3,18,,,,,,,,,4G,,,,359,1849,-89,-18,,,2G,,,,,0,-113,,,,2G,,,,,983,-113,,,,2G,,,,,1018,-113,,,,2G,,,,,1005,-113,,,,2G,,,,,1000,-113,,,,2G,,,,,1002,-113,,,,2G,,,,,979,-113,,,,2G,,,,,992,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
