Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.04_08.48.51.955,16.46135981,50.08436267,45,T-Mobile_CZ,23002,2.30E+14,,923802,22,13630,4G,4G,-102,-16,9,-,-66,1579,0,0,222,465,463,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,2,16,E189A,353E,236493334,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,133,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,154,1579,-104,-17,,,4G,,,,224,1579,-106,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,2G,,,,,42,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.48.55.959,16.46116256,50.08387446,53,T-Mobile_CZ,23002,2.30E+14,,923802,22,13630,4G,4G,-102,-16,9,-,-66,1579,0,0,222,467,465,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,5,16,E189A,353E,236493334,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,136,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,154,1579,-104,-17,,,4G,,,,224,1579,-106,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,2G,,,,,42,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.48.59.960,16.46089989,50.08338875,50,T-Mobile_CZ,23002,2.30E+14,,923802,22,13630,4G,4G,-102,-16,9,-,-66,1579,0,0,222,472,470,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,9,16,E189A,353E,236493334,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,3,140,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,154,1579,-104,-17,,,4G,,,,224,1579,-106,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,2G,,,,,42,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.49.01.273,16.46089989,50.08338875,50,T-Mobile_CZ,23002,2.30E+14,,925591,24,13630,4G,4G,-96,-11,9,-,-65,1579,0,0,154,472,470,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,CELL_RESELECTION_4G4G,230-02-13630-923802-22-1579-222:230-02-13630-925591-24-1579-154,,,10,18,E1F97,353E,236951320,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,141,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,222,1579,-108,-16,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,11,-113,,,,2G,,,,,54,-113,,,,2G,,,,,53,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.49.03.964,16.46062244,50.08292222,49,T-Mobile_CZ,23002,2.30E+14,,925591,24,13630,4G,4G,-96,-11,9,-,-65,1579,0,0,154,478,476,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,3,18,E1F97,353E,236951320,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,144,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,222,1579,-108,-16,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,11,-113,,,,2G,,,,,54,-113,,,,2G,,,,,53,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.49.07.963,16.46021251,50.08252154,46,T-Mobile_CZ,23002,2.30E+14,,925591,24,13630,4G,4G,-96,-11,9,-,-65,1579,0,0,154,484,482,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,7,18,E1F97,353E,236951320,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,1,148,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,222,1579,-108,-16,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,11,-113,,,,2G,,,,,54,-113,,,,2G,,,,,53,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.49.11.966,16.45953301,50.08234613,48,T-Mobile_CZ,23002,2.30E+14,,925591,24,13630,4G,4G,-103,-11,9,-,-72,1579,0,0,154,488,486,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,11,18,E1F97,353E,236951320,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,152,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,222,1579,-114,-15,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,11,-113,,,,2G,,,,,54,-113,,,,2G,,,,,53,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.49.15.946,16.45877815,50.08227064,50,T-Mobile_CZ,23002,2.30E+14,,925591,24,13630,4G,4G,-103,-11,9,-,-72,1579,0,0,154,492,490,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,15,18,E1F97,353E,236951320,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,156,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,222,1579,-114,-15,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,11,-113,,,,2G,,,,,54,-113,,,,2G,,,,,53,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.49.19.962,16.45798523,50.08218468,55,T-Mobile_CZ,23002,2.30E+14,,925591,24,13630,4G,4G,-103,-11,9,-,-72,1579,0,0,154,493,491,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,18,18,E1F97,353E,236951320,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,2,159,,,,,,,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,4G,,,,222,1579,-114,-15,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,11,-113,,,,2G,,,,,54,-113,,,,2G,,,,,53,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.04_08.49.23.954,16.45713718,50.08196572,63,T-Mobile_CZ,23002,2.30E+14,,925591,24,13630,4G,4G,-98,-20,9,-,-58,1579,0,0,154,494,492,3,G,I,,,,,,,,,,,,,1,,,-1,1000,10.28.208.233,,,,,,22,18,E1F97,353E,236951320,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,163,,,,,,,,,4G,,,,222,1579,-86,-13,,,4G,,,,261,6200,-91,-13,,,4G,,,,311,6200,-99,-16,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,11,-113,,,,2G,,,,,54,-113,,,,2G,,,,,53,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
