Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Unnamed: 270
2026.02.27_18.43.36.400,16.37883282,49.97148533,1,T-Mobile_CZ,23002,2.30021E+14,,920952,114,13630,4G,4G,-95,-13,5,-,-62,500,-1,-1,139,0,-2,9,G,I,,,,,,,,,,,,,1,,,-1,1000,,,LOG RESUME,,,,330,72,E0D78,353E,235763826,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,True,0,1,321,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-108,-18,,,4G,,,,148,500,-117,-20,,,2G,,,,,30,-113,,,,2G,,,,,29,-113,,,,2G,,,,,28,-113,,,,2G,,,,,27,-113,,,,2G,,,,,25,-113,,,,2G,,,,,24,-113,,,,2G,,,,,23,-113,,,,2G,,,,,21,-113,,,,,,,,,,,,,,
2026.02.27_18.43.36.680,16.37883757,49.97148399,2,T-Mobile_CZ,23002,2.30021E+14,,920952,114,13630,4G,4G,-95,-13,5,-,-62,500,-1,-1,139,386,384,9,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,330,72,E0D78,353E,235763826,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,True,0,1,321,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-108,-18,,,4G,,,,148,500,-117,-20,,,2G,,,,,30,-113,,,,2G,,,,,29,-113,,,,2G,,,,,28,-113,,,,2G,,,,,27,-113,,,,2G,,,,,25,-113,,,,2G,,,,,24,-113,,,,2G,,,,,23,-113,,,,2G,,,,,21,-113,,,,,,,,,,,,,,
2026.02.27_18.43.50.703,16.37958955,49.97140899,23,T-Mobile_CZ,23002,2.30021E+14,,920952,114,13630,4G,4G,-103,-15,7,-,-68,500,-1,-1,139,379,377,5,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,344,72,E0D78,353E,235763826,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,5,6,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,148,500,-106,-12,,,4G,,,,138,500,-109,-17,,,2G,,,,,30,-113,,,,2G,,,,,29,-113,,,,2G,,,,,28,-113,,,,2G,,,,,27,-113,,,,2G,,,,,25,-113,,,,2G,,,,,24,-113,,,,2G,,,,,23,-113,,,,2G,,,,,21,-113,,,,,,,,,,,,,,
2026.02.27_18.43.57.723,16.38036284,49.97131953,29,T-Mobile_CZ,23002,2.30021E+14,,920952,114,13630,4G,4G,-104,-15,7,-,-69,500,-1,-1,139,375,373,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,350,72,E0D78,353E,235763826,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,1,12,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-101,-17,,,4G,,,,148,500,-108,-20,,,2G,,,,,30,-113,,,,2G,,,,,29,-113,,,,2G,,,,,28,-113,,,,2G,,,,,27,-113,,,,2G,,,,,25,-113,,,,2G,,,,,24,-113,,,,2G,,,,,23,-113,,,,2G,,,,,21,-113,,,,,,,,,,,,,,
2026.02.27_18.44.03.722,16.38111634,49.97130031,33,T-Mobile_CZ,23002,2.30021E+14,,920952,114,13630,4G,4G,-104,-15,7,-,-69,500,-1,-1,139,373,371,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,356,72,E0D78,353E,235763826,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,7,18,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-101,-17,,,4G,,,,148,500,-108,-20,,,2G,,,,,30,-113,,,,2G,,,,,29,-113,,,,2G,,,,,28,-113,,,,2G,,,,,27,-113,,,,2G,,,,,25,-113,,,,2G,,,,,24,-113,,,,2G,,,,,23,-113,,,,2G,,,,,21,-113,,,,,,,,,,,,,,
2026.02.27_18.44.05.074,16.38111634,49.97130031,33,T-Mobile_CZ,23002,2.30021E+14,,924562,114,13630,4G,4G,-100,-19,7,-,-61,500,-1,-1,148,373,371,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-02-13630-920952-114-500-139:230-02-13630-924562-114-500-148,,,357,72,E1B92,353E,236687986,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,19,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-104,-19,,,4G,,,,139,500,-105,-18,,,2G,,,,,23,-113,,,,2G,,,,,22,-113,,,,2G,,,,,14,-113,,,,2G,,,,0,13,-113,,,,2G,,,,,52,-113,,,,2G,,,,,47,-113,,,,2G,,,,0,44,-101,,,,2G,,,,,42,-113,,,,,,,,,,,,,,
2026.02.27_18.44.09.705,16.38192366,49.9713022,37,T-Mobile_CZ,23002,2.30021E+14,,924562,114,13630,4G,4G,-100,-19,7,-,-61,500,-1,-1,148,374,372,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,5,72,E1B92,353E,236687986,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,3,24,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-104,-19,,,4G,,,,139,500,-105,-18,,,2G,,,,,23,-113,,,,2G,,,,,22,-113,,,,2G,,,,,14,-113,,,,2G,,,,0,13,-113,,,,2G,,,,,52,-113,,,,2G,,,,,47,-113,,,,2G,,,,0,44,-101,,,,2G,,,,,42,-113,,,,,,,,,,,,,,
2026.02.27_18.44.14.708,16.38269284,49.97137462,42,T-Mobile_CZ,23002,2.30021E+14,,924562,114,13630,4G,4G,-100,-19,7,-,-61,500,-1,-1,148,374,372,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,10,72,E1B92,353E,236687986,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,9,29,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-104,-19,,,4G,,,,139,500,-105,-18,,,2G,,,,,23,-113,,,,2G,,,,,22,-113,,,,2G,,,,,14,-113,,,,2G,,,,0,13,-113,,,,2G,,,,,52,-113,,,,2G,,,,,47,-113,,,,2G,,,,0,44,-101,,,,2G,,,,,42,-113,,,,,,,,,,,,,,
2026.02.27_18.44.19.696,16.38350968,49.97155565,45,T-Mobile_CZ,23002,2.30021E+14,,924562,114,13630,4G,4G,-97,-20,7,-,-57,500,-1,-1,148,374,372,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,14,72,E1B92,353E,236687986,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,3,34,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-96,-20,,,4G,,,,139,500,-100,-20,,,2G,,,,,23,-113,,,,2G,,,,,22,-113,,,,2G,,,,,14,-113,,,,2G,,,,0,13,-113,,,,2G,,,,,52,-113,,,,2G,,,,,47,-113,,,,2G,,,,0,44,-101,,,,2G,,,,,42,-113,,,,,,,,,,,,,,
2026.02.27_18.44.23.704,16.38414253,49.9718021,47,T-Mobile_CZ,23002,2.30021E+14,,924562,114,13630,4G,4G,-97,-20,7,-,-57,500,-1,-1,148,375,373,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,,,,,18,72,E1B92,353E,236687986,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,6,37,,,,,,,,,4G,,,,433,1579,-83,-10,,,4G,,,,464,1579,-87,-14,,,4G,,,,433,6200,-89,-9,,,4G,,,,177,1579,-90,-17,,,4G,,,,178,1579,-94,-20,,,4G,,,,13,6200,-95,-17,,,4G,,,,94,6200,-95,-16,,,4G,,,,138,500,-96,-20,,,4G,,,,139,500,-100,-20,,,2G,,,,,23,-113,,,,2G,,,,,22,-113,,,,2G,,,,,14,-113,,,,2G,,,,0,13,-113,,,,2G,,,,,52,-113,,,,2G,,,,,47,-113,,,,2G,,,,0,44,-101,,,,2G,,,,,42,-113,,,,,,,,,,,,,,
