Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Unnamed: 270
2026.02.27_18.43.36.401,16.37883282,49.97148533,1,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-85,-11,15,-,-54,1849,0,0,339,0,-2,9,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,LOG RESUME,,,,330,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,True,0,1,2,,,,,,,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.43.36.680,16.37883757,49.97148399,2,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-85,-11,15,-,-54,1849,0,0,339,386,384,9,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,330,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,True,0,1,2,,,,,,,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.43.50.703,16.37958955,49.97140899,23,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-86,-15,15,-,-51,1849,0,0,339,379,377,5,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,344,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,4,16,,,,,,,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.43.57.723,16.38036284,49.97131953,29,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-82,-10,15,-,-52,1849,0,0,339,375,373,3,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,350,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,22,,,,,,,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.44.03.723,16.38111634,49.97130031,33,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-82,-10,15,-,-52,1849,0,0,339,373,371,3,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,356,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,6,28,,,,,,,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.44.09.706,16.38192366,49.9713022,37,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-86,-18,15,-,-48,1849,0,0,339,374,372,3,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,5,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,2,34,,,,,,,,,4G,,,,350,1849,-93,-20,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.44.14.708,16.38269284,49.97137462,42,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-86,-18,15,-,-48,1849,0,0,339,374,372,3,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,10,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,7,39,,,,,,,,,4G,,,,350,1849,-93,-20,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.44.19.698,16.38350968,49.97155565,45,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-95,-20,15,-,-55,1849,0,0,339,374,372,3,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,14,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,2,44,,,,,,,,,4G,,,,350,1849,-92,-11,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.44.23.705,16.38414253,49.9718021,47,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-95,-20,15,-,-55,1849,0,0,339,375,373,3,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,18,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,5,47,,,,,,,,,4G,,,,350,1849,-92,-11,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.02.27_18.44.27.698,16.3846644,49.97215939,49,Vodafone_CZ,23003,2.30034E+14,,4264,3,38012,4G,4G,-95,-20,15,-,-55,1849,0,0,339,374,372,3,G,I,,,,,,,,,,,,,1,,,-1,1000,100.104.11.152,,,,,,22,3,10A8,947C,1091587,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,9,51,,,,,,,,,4G,,,,350,1849,-92,-11,,,2G,,,,,0,-113,,,,2G,,,,,982,-113,,,,2G,,,,,997,-113,,,,2G,,,,,1006,-113,,,,2G,,,,,976,-113,,,,2G,,,,,983,-113,,,,2G,,,,,985,-113,,,,2G,,,,,979,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
