Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Unnamed: 270
2026.05.09_09.28.13.471,16.46680809,50.09432791,5,O2.CZ,23002,2.30021E+14,,923801,11,13630,4G,4G,-83,-10,9,-,-57,6200,-1,-1,261,0,-2,53,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,3,B,E1899,353E,236493067,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,1,,,,,,,,,4G,,,,458,6200,-100,-20,,,4G,,,,311,6200,-93,-17,,,2G,,,,,26,-113,,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,10,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.28.47.017,16.46722328,50.09392917,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-99,-12,5,-,-67,100,-1,-1,350,490,488,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,20,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,18,,,,,,,,,4G,,,,329,6300,-90,-14,,,4G,,,,195,6300,-94,-17,,,4G,,,,203,6300,-95,-14,,,4G,,,,325,6300,-95,-19,,,4G,,,,427,6300,-103,-13,,,4G,,,,82,1404,-104,-13,,,4G,,,,458,1404,-106,-12,,,4G,,,,233,100,-107,-15,,,4G,,,,469,1404,-121,-20,,,4G,,,,382,100,-122,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.03.031,16.46745446,50.09375666,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-101,-15,5,-,-66,100,-1,-1,350,489,487,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,6,,,,,35,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,33,,,,,,,,,4G,,,,329,6300,-90,-12,,,4G,,,,203,6300,-92,-13,,,4G,,,,427,6300,-93,-14,,,4G,,,,458,1404,-100,-10,,,4G,,,,325,6300,-107,-20,,,4G,,,,82,1404,-110,-20,,,4G,,,,469,1404,-117,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.20.036,16.46777602,50.09364377,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-105,-11,5,-,-74,100,-1,-1,350,488,486,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,52,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,50,,,,,,,,,4G,,,,329,6300,-88,-14,,,4G,,,,121,6300,-90,-16,,,4G,,,,203,6300,-92,-16,,,4G,,,,325,6300,-94,-19,,,4G,,,,195,6300,-94,-17,,,4G,,,,458,1404,-104,-12,,,4G,,,,427,6300,-104,-16,,,4G,,,,82,1404,-108,-20,,,4G,,,,233,100,-119,-20,,,4G,,,,188,100,-120,-18,,,4G,,,,469,1404,-120,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.36.031,16.46810192,50.09355938,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-108,-9,5,-,-79,100,-1,-1,350,489,487,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,67,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,65,,,,,,,,,4G,,,,329,6300,-90,-11,,,4G,,,,203,6300,-90,-11,,,4G,,,,195,6300,-90,-14,,,4G,,,,325,6300,-97,-20,,,4G,,,,458,1404,-98,-9,,,4G,,,,121,6300,-105,-20,,,4G,,,,82,1404,-111,-20,,,4G,,,,233,100,-119,-19,,,4G,,,,469,1404,-119,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.53.045,16.46845043,50.09348048,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-103,-10,5,-,-73,100,-1,-1,350,492,490,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,84,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,82,,,,,,,,,4G,,,,203,6300,-84,-11,,,4G,,,,329,6300,-87,-15,,,4G,,,,195,6300,-90,-17,,,4G,,,,325,6300,-92,-20,,,4G,,,,121,6300,-96,-20,,,4G,,,,458,1404,-97,-9,,,4G,,,,427,6300,-101,-8,,,4G,,,,485,1404,-106,-17,,,4G,,,,359,1404,-111,-15,,,4G,,,,367,100,-114,-20,,,4G,,,,82,1404,-117,-20,,,4G,,,,31,1404,-118,-20,,,4G,,,,382,100,-126,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.09.047,16.46879413,50.09341714,6,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-103,-9,5,-,-74,100,-1,-1,350,492,490,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,99,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,97,,,,,,,,,4G,,,,203,6300,-81,-14,,,4G,,,,195,6300,-81,-14,,,4G,,,,329,6300,-86,-18,,,4G,,,,458,1404,-93,-8,,,4G,,,,427,6300,-98,-17,,,4G,,,,82,1404,-104,-19,,,4G,,,,325,6300,-105,-20,,,4G,,,,485,1404,-107,-17,,,4G,,,,359,1404,-110,-17,,,4G,,,,31,1404,-112,-20,,,4G,,,,469,1404,-119,-20,,,4G,,,,382,100,-124,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.25.049,16.46913579,50.09335025,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-103,-10,5,-,-73,100,-1,-1,350,493,491,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,114,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,112,,,,,,,,,4G,,,,329,6300,-88,-11,,,4G,,,,203,6300,-94,-15,,,4G,,,,195,6300,-96,-18,,,4G,,,,325,6300,-102,-18,,,4G,,,,458,1404,-104,-9,,,4G,,,,427,6300,-104,-17,,,4G,,,,233,100,-111,-16,,,4G,,,,485,1404,-111,-16,,,4G,,,,188,100,-112,-14,,,4G,,,,31,1404,-113,-18,,,4G,,,,82,1404,-114,-19,,,4G,,,,192,100,-115,-19,,,4G,,,,359,1404,-116,-19,,,4G,,,,469,1404,-122,-20,,,4G,,,,382,100,-125,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.41.043,16.4694756,50.09328424,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-106,-11,5,-,-75,100,-1,-1,350,494,492,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,130,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,128,,,,,,,,,4G,,,,329,6300,-87,-11,,,4G,,,,203,6300,-93,-17,,,4G,,,,195,6300,-94,-18,,,4G,,,,427,6300,-99,-11,,,4G,,,,458,1404,-101,-11,,,4G,,,,31,1404,-102,-18,,,4G,,,,325,6300,-104,-20,,,4G,,,,485,1404,-108,-17,,,4G,,,,233,100,-109,-17,,,4G,,,,192,100,-109,-14,,,4G,,,,82,1404,-110,-20,,,4G,,,,469,1404,-116,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.57.049,16.46980931,50.0932146,5,O2.CZ,23002,2.3002E+14,,923802,200,1623,4G,4G,-113,-16,5,-,-77,100,-1,-1,350,495,493,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,7,,,,,145,C8,E189A,657,236493512,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L1,20,,,,,,,,,,13,False,,,,1000,100,False,,False,0,0,143,,,,,,,,,4G,,,,329,6300,-96,-13,,,4G,,,,195,6300,-98,-16,,,4G,,,,427,6300,-101,-19,,,4G,,,,325,6300,-105,-18,,,4G,,,,458,1404,-107,-12,,,4G,,,,469,1404,-109,-19,,,4G,,,,82,1404,-110,-16,,,4G,,,,485,1404,-110,-15,,,4G,,,,359,1404,-116,-20,,,4G,,,,382,100,-117,-17,,,4G,,,,420,100,-118,-17,,,4G,,,,192,100,-119,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
