Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Unnamed: 270
2026.05.09_09.28.34.222,16.46703548,50.09413572,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-94,-17,14,-,-57,1579,14035,960,224,491,489,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,,HANDOVER_DATA_4G4G,230-02-1623-923802-200-100-350:230-02-13630-923802-21-1579-224,,,7,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,0,,,,,,,,,4G,,,,261,6200,-90,-13,,,4G,,,,228,1579,-104,-20,,,4G,,,,458,6200,-106,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.28.47.017,16.46722328,50.09392917,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-99,-17,14,-,-62,1579,335,159,224,490,488,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,20,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,12,,,,,,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.03.031,16.46745446,50.09375666,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-99,-15,14,-,-64,1579,168,30,224,489,487,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,35,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,27,,,,,,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.20.043,16.46777602,50.09364377,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-100,-15,14,-,-65,1579,5,1,224,488,486,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,52,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,44,,,,,,,,,4G,,,,222,1579,-116,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.36.030,16.46810192,50.09355938,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-101,-16,14,-,-65,1579,967,35,224,489,487,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,67,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,59,,,,,,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.29.53.046,16.46845043,50.09348048,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-97,-15,14,-,-62,1579,0,0,224,492,490,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,84,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,76,,,,,,,,,4G,,,,222,1579,-118,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.09.048,16.46879413,50.09341714,6,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-104,-14,14,-,-70,1579,1,1,224,492,490,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,99,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,91,,,,,,,,,4G,,,,389,1579,-105,-20,,,4G,,,,1,1579,-108,-19,,,4G,,,,228,1579,-111,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.25.051,16.46913579,50.09335025,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-100,-16,14,-,-64,1579,0,0,224,493,491,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,114,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,106,,,,,,,,,4G,,,,389,1579,-108,-17,,,4G,,,,1,1579,-110,-20,,,4G,,,,228,1579,-112,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.41.046,16.4694756,50.09328424,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-104,-15,14,-,-69,1579,0,1,224,494,492,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,130,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,122,,,,,,,,,4G,,,,154,1579,-109,-20,,,4G,,,,222,1579,-111,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.30.57.047,16.46980931,50.0932146,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-104,-14,14,-,-70,1579,0,0,224,495,493,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,10.16.224.128,7,,,,,145,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20,,,,,,,,,,1000,False,,,,1000,100,False,,False,0,0,137,,,,,,,,,4G,,,,199,1579,-112,-19,,,4G,,,,1,1579,-112,-19,,,4G,,,,389,1579,-113,-19,,,4G,,,,154,1579,-113,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
