Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.09_09.52.04.958,16.48805417,50.092099,0,O2.CZ,23002,2.3002E+14,,923801,90,1623,4G,4G,-102,-8,14.0,-,-78,3750,-1,-1,201,497,495,5,G,I,,,,,,,,,,,,,1,,,-1,1000,,17,LOG START,,,,2,5A,E1899,657,236493146,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L8,10/20/15,,,,,,,,,,13,PRAVDA,,,,1000,-1,NEPRAVDA,,PRAVDA,0,1,0,,,,,,,,,4G,,,,307,3750,-107,-15,,,4G,,,,380,3750,-108,-19,,,4G,,,,158,1404,-109,-10,,,4G,,,,300,3750,-113,-18,,,4G,,,,124,1404,-117,-17,,,4G,,,,458,1404,-118,-19,,,4G,,,,469,1404,-124,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.52.38.106,16.48820485,50.09230984,5,O2.CZ,23002,2.3002E+14,,923801,90,1623,4G,4G,-97,-8,14.0,-,-73,3750,-1,-1,201,492,490,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,16,,,,,34,5A,E1899,657,236493146,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L8,10/20/15,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,7,32,,,,,,,,,4G,,,,307,3750,-108,-16,,,4G,,,,158,1404,-116,-12,,,4G,,,,124,1404,-117,-15,,,4G,,,,458,1404,-121,-17,,,4G,,,,469,1404,-124,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.52.58.156,16.488471,50.09246995,5,O2.CZ,23002,2.3002E+14,,923801,90,1623,4G,4G,-102,-9,14.0,-,-77,3750,-1,-1,201,491,489,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,16,,,,,53,5A,E1899,657,236493146,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L8,10/20/15,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,6,51,,,,,,,,,4G,,,,307,3750,-112,-17,,,4G,,,,302,3750,-115,-18,,,4G,,,,458,1404,-118,-16,,,4G,,,,417,1404,-119,-16,,,4G,,,,31,1404,-120,-17,,,4G,,,,469,1404,-121,-18,,,4G,,,,124,1404,-123,-17,,,4G,,,,158,1404,-125,-20,,,4G,,,,461,1404,-128,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.14.108,16.48871059,50.09263908,5,O2.CZ,23002,2.3002E+14,,923801,90,1623,4G,4G,-96,-7,17.0,-,-73,3750,-1,-1,201,491,489,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,16,,,,,68,5A,E1899,657,236493146,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L8,10/20/15,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,3,,,,,,,,,4G,,,,307,3750,-105,-18,,,4G,,,,417,1404,-118,-14,,,4G,,,,469,1404,-122,-15,,,4G,,,,458,1404,-124,-17,,,4G,,,,124,1404,-124,-20,,,4G,,,,31,1404,-125,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.32.114,16.48891498,50.09282571,4,O2.CZ,23002,2.3002E+14,,923801,90,1623,4G,4G,-93,-7,23.0,-,-70,3750,-1,-1,201,491,489,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,16,,,,,85,5A,E1899,657,236493146,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L8,10/20/15,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,9,0,,,,,,,,,4G,,,,307,3750,-99,-18,,,4G,,,,469,1404,-115,-12,,,4G,,,,458,1404,-119,-15,,,4G,,,,302,3750,-120,-20,,,4G,,,,124,1404,-121,-18,,,4G,,,,417,1404,-121,-17,,,4G,,,,441,1404,-121,-18,,,4G,,,,31,1404,-122,-18,,,4G,,,,485,1404,-123,-19,,,4G,,,,367,100,-123,-15,,,4G,,,,212,1404,-124,-19,,,4G,,,,382,100,-124,-13,,,4G,,,,350,100,-126,-15,,,4G,,,,188,100,-129,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.43.447,16.48891498,50.09282571,4,O2.CZ,23002,2.3002E+14,,923491,101,1619,4G,4G,-114,-13,23.0,-,-83,1404,-1,-1,469,491,489,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-02-1623-923801-90-3750-201:230-02-1619-923491-101-1404-469,,,96,65,E1763,653,236413797,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,11,,,,,,,,,4G,,,,329,6300,-99,-10,,,4G,,,,203,6300,-106,-16,,,4G,,,,325,6300,-108,-16,,,4G,,,,489,6300,-108,-18,,,4G,,,,195,6300,-112,-20,,,4G,,,,427,6300,-115,-19,,,4G,,,,31,1404,-116,-17,,,4G,,,,458,1404,-117,-12,,,4G,,,,441,1404,-121,-18,,,4G,,,,417,1404,-121,-16,,,4G,,,,367,100,-121,-13,,,4G,,,,382,100,-127,-15,,,4G,,,,350,100,-129,-19,,,4G,,,,153,100,-129,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.49.084,16.48907317,50.09303329,5,O2.CZ,23002,2.3002E+14,,923491,101,1619,4G,4G,-114,-13,0.0,-,-83,1404,-1,-1,469,490,488,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,66,,,,,6,65,E1763,653,236413797,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,5,0,,,,,,,,,4G,,,,329,6300,-99,-10,,,4G,,,,203,6300,-106,-16,,,4G,,,,325,6300,-108,-16,,,4G,,,,489,6300,-108,-18,,,4G,,,,195,6300,-112,-20,,,4G,,,,427,6300,-115,-19,,,4G,,,,31,1404,-116,-17,,,4G,,,,458,1404,-117,-12,,,4G,,,,441,1404,-121,-18,,,4G,,,,417,1404,-121,-16,,,4G,,,,367,100,-121,-13,,,4G,,,,382,100,-127,-15,,,4G,,,,350,100,-129,-19,,,4G,,,,153,100,-129,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.53.938,16.48907317,50.09303329,5,O2.CZ,23002,2.3002E+14,,923801,80,1623,4G,4G,-95,-9,0.0,-,-70,6300,-1,-1,329,490,488,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-02-1619-923491-101-1404-469:230-02-1623-923801-80-6300-329,,,10,50,E1899,657,236493136,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,5,,,,,,,,,4G,,,,489,6300,-102,-14,,,4G,,,,325,6300,-112,-19,,,4G,,,,427,6300,-112,-15,,,4G,,,,458,1404,-115,-15,,,4G,,,,31,1404,-118,-18,,,4G,,,,417,1404,-118,-14,,,4G,,,,469,1404,-120,-16,,,4G,,,,441,1404,-123,-17,,,4G,,,,461,1404,-123,-18,,,4G,,,,382,1404,-126,-19,,,4G,,,,382,100,-128,-15,,,4G,,,,367,100,-129,-16,,,4G,,,,350,100,-130,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.54.06.088,16.48920121,50.09324245,5,O2.CZ,23002,2.3002E+14,,923801,80,1623,4G,4G,-95,-11,1.0,-,-68,6300,-1,-1,329,491,489,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,16,,,,,12,50,E1899,657,236493136,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,1,7,,,,,,,,,4G,,,,489,6300,-100,-13,,,4G,,,,325,6300,-109,-17,,,4G,,,,427,6300,-109,-10,,,4G,,,,417,1404,-113,-12,,,4G,,,,469,1404,-119,-16,,,4G,,,,458,1404,-120,-14,,,4G,,,,212,1404,-124,-19,,,4G,,,,31,1404,-125,-19,,,4G,,,,461,1404,-125,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.54.21.096,16.48928521,50.09346675,4,O2.CZ,23002,2.3002E+14,,923801,80,1623,4G,4G,-96,-10,9.0,-,-70,6300,-1,-1,329,491,489,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,16,,,,,26,50,E1899,657,236493136,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,13,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,6,7,,,,,,,,,4G,,,,489,6300,-101,-11,,,4G,,,,325,6300,-104,-15,,,4G,,,,427,6300,-109,-18,,,4G,,,,203,6300,-112,-20,,,4G,,,,230,6300,-112,-20,,,4G,,,,136,6300,-112,-20,,,4G,,,,500,6300,-113,-20,,,4G,,,,458,1404,-120,-17,,,4G,,,,469,1404,-120,-17,,,4G,,,,31,1404,-121,-17,,,4G,,,,350,100,-125,-16,,,4G,,,,382,100,-127,-17,,,2G,,,,,74,-113,,,,2G,,,,,72,-113,,,,2G,,,,,71,-113,,,,2G,,,,,69,-113,,,,2G,,,,,67,-113,,,,2G,,,,,65,-113,,,,2G
