Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.05.09_09.52.04.892,16.48805417,50.092099,0,T-Mobile_CZ,23002,2.30021E+14,,923801,11,13630,4G,4G,-99,-17,-2.0,-,-66,6200,683,230,261,497,495,5,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,16,LOG START,,,,2,B,E1899,353E,236493067,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,-1,NEPRAVDA,,PRAVDA,0,1,0,,,,,,,,,4G,,,,191,6200,-96,-16,,,4G,,,,185,6200,-99,-18,,,4G,,,,97,6200,-103,-19,,,4G,,,,17,1579,-110,-16,,,4G,,,,153,1579,-113,-20,,,4G,,,,224,1579,-116,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.52.06.323,16.48807549,50.09210895,0,T-Mobile_CZ,23002,2.30021E+14,,924421,12,13620,4G,4G,-94,-11,-2.0,-,-67,6200,1309,265,191,497,495,5,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,,CELL_RESELECTION_4G4G,230-02-13630-923801-11-6200-261:230-02-13620-924421-12-6200-191,,,3,C,E1B05,3534,236651788,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,PRAVDA,0,0,1,,,,,,,,,4G,,,,261,6200,-100,-16,,,4G,,,,185,6200,-102,-17,,,4G,,,,97,6200,-107,-20,,,2G,,,,,11,-113,,,,2G,,,,,40,-113,,,,2G,,,,,39,-113,,,,2G,,,,,38,-113,,,,2G,,,,,37,-113,,,,2G,,,,,30,-113,,,,2G,,,,,29,-113,,,,2G,,,,,28,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.52.38.108,16.48820485,50.09230984,5,T-Mobile_CZ,23002,2.30021E+14,,924421,12,13620,4G,4G,-98,-15,-2.0,-,-67,6200,164,47,191,492,490,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,,,,,,34,C,E1B05,3534,236651788,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,6,32,,,,,,,,,4G,,,,261,6200,-100,-15,,,2G,,,,,11,-113,,,,2G,,,,,40,-113,,,,2G,,,,,39,-113,,,,2G,,,,,38,-113,,,,2G,,,,,37,-113,,,,2G,,,,,30,-113,,,,2G,,,,,29,-113,,,,2G,,,,,28,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.52.42.068,16.48820485,50.09230984,5,T-Mobile_CZ,23002,2.30021E+14,,923801,11,13630,4G,4G,-100,-12,-2.0,-,-72,6200,218,64,261,492,490,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,,CELL_RESELECTION_4G4G,230-02-13620-924421-12-6200-191:230-02-13630-923801-11-6200-261,,,37,B,E1899,353E,236493067,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,35,,,,,,,,,4G,,,,187,6200,-103,-14,,,4G,,,,191,6200,-111,-20,,,4G,,,,458,6200,-115,-20,,,2G,,,,,26,-113,,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,10,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.52.58.157,16.488471,50.09246995,5,T-Mobile_CZ,23002,2.30021E+14,,923801,11,13630,4G,4G,-99,-9,-2.0,-,-74,6200,0,0,261,491,489,3,G,I,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,,,,,,53,B,E1899,353E,236493067,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,5,51,,,,,,,,,4G,,,,187,6200,-105,-17,,,4G,,,,191,6200,-105,-17,,,4G,,,,458,6200,-108,-19,,,4G,,,,354,6200,-110,-20,,,2G,,,,,26,-113,,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,10,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.14.107,16.48871059,50.09263908,5,T-Mobile_CZ,23002,2.30021E+14,,923801,11,13630,4G,4G,-97,-8,-2.0,-,-73,6200,1,1,261,491,489,3,G,D,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,,,,,,68,B,E1899,353E,236493067,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,66,,,,,,,,,4G,,,,458,6200,-110,-20,,,4G,,,,185,6200,-110,-20,,,4G,,,,224,1579,-118,-13,,,4G,,,,17,1579,-123,-17,,,4G,,,,222,1579,-127,-20,,,2G,,,,,26,-113,,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,10,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.32.115,16.48891498,50.09282571,4,T-Mobile_CZ,23002,2.30021E+14,,923801,11,13630,4G,4G,-88,-9,-2.0,-,-63,6200,0,0,261,491,489,3,G,I,,,,,,,,,,,M,1000,1,,,-1,1000,,,,,,,85,B,E1899,353E,236493067,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,8,83,,,,,,,,,4G,,,,185,6200,-97,-19,,,4G,,,,354,6200,-98,-19,,,4G,,,,458,6200,-101,-19,,,4G,,,,187,6200,-103,-20,,,4G,,,,224,1579,-118,-13,,,4G,,,,17,1579,-123,-17,,,4G,,,,222,1579,-127,-20,,,2G,,,,,26,-113,,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,10,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.44.538,16.48891498,50.09282571,4,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-116,-15,-2.0,-,-85,1579,0,0,224,491,489,3,G,I,,,,,,,,,,,M,1000,1,,,-1,1000,,,CELL_RESELECTION_4G4G,230-02-13630-923801-11-6200-261:230-02-13630-923802-21-1579-224,,,1,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,95,,,,,,,,,4G,,,,187,6200,-102,-13,,,4G,,,,261,6200,-104,-15,,,4G,,,,458,6200,-104,-16,,,4G,,,,222,1579,-123,-15,,,4G,,,,153,1579,-127,-17,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.49.086,16.48907317,50.09303329,5,T-Mobile_CZ,23002,2.30021E+14,,923802,21,13630,4G,4G,-116,-15,-2.0,-,-85,1579,0,0,224,490,488,3,G,I,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,,,,,,6,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,4,100,,,,,,,,,4G,,,,187,6200,-102,-13,,,4G,,,,261,6200,-104,-15,,,4G,,,,458,6200,-104,-16,,,4G,,,,222,1579,-123,-15,,,4G,,,,153,1579,-127,-17,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.05.09_09.53.55.021,16.48907317,50.09303329,5,T-Mobile_CZ,23002,2.30021E+14,,923801,11,13630,4G,4G,-94,-14,-2.0,-,-64,6200,0,0,261,490,488,3,G,I,,,,,,,,,,,M,1000,1,,,-1,1000,10.55.251.164,,CELL_RESELECTION_4G4G,230-02-13630-923802-21-1579-224:230-02-13630-923801-11-6200-261,,,1,B,E1899,353E,236493067,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L20,10,,,,,,,,,,1000,NEPRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,105,,,,,,,,,4G,,,,187,6200,-105,-20,,,4G,,,,458,6200,-105,-20,,,4G,,,,224,1579,-119,-18,,,4G,,,,153,1579,-129,-20,,,2G,,,,,26,-113,,,,2G,,,,,24,-113,,,,2G,,,,,22,-113,,,,2G,,,,0,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,10,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
