Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.25_18.14.26.357,16.46220979,50.09236455,0,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-84,-12,18.0,-,-54,1404,377,123,458,470,468,10,G,D,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,,,,,,1,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,PRAVDA,0,2,0,,,,,,,,,4G,,,,195,6300,-81,-14,,,4G,,,,203,6300,-84,-16,,,4G,,,,121,6300,-84,-17,,,4G,,,,329,6300,-85,-16,,,4G,,,,350,100,-86,-14,,,4G,,,,82,1404,-92,-18,,,4G,,,,233,100,-94,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.02.058,16.46188269,50.09226137,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-83,-15,18.0,-,-50,1404,0,0,458,455,453,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,4,,,,,36,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,1,34,,,,,,,,,4G,,,,195,6300,-85,-17,,,4G,,,,203,6300,-85,-15,,,4G,,,,82,1404,-86,-20,,,4G,,,,121,6300,-87,-20,,,4G,,,,329,6300,-88,-18,,,4G,,,,350,100,-89,-18,,,4G,,,,233,100,-96,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.20.046,16.4616248,50.0921001,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-85,-14,14.0,-,-53,1404,0,0,458,454,452,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,4,,,,,53,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,8,9,,,,,,,,,4G,,,,195,6300,-80,-13,,,4G,,,,203,6300,-81,-15,,,4G,,,,329,6300,-84,-19,,,4G,,,,350,100,-89,-15,,,4G,,,,82,1404,-94,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.38.054,16.46142789,50.09190658,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-85,-10,17.0,-,-57,1404,0,0,458,455,453,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,4,,,,,70,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,5,10,,,,,,,,,4G,,,,195,6300,-78,-15,,,4G,,,,203,6300,-78,-14,,,4G,,,,329,6300,-81,-18,,,4G,,,,350,100,-88,-8,,,4G,,,,82,1404,-95,-19,,,4G,,,,233,100,-95,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.54.053,16.46128649,50.09169695,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-85,-10,12.0,-,-57,1404,0,0,458,453,451,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,4,,,,,85,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,10,1,,,,,,,,,4G,,,,195,6300,-79,-13,,,4G,,,,203,6300,-81,-15,,,4G,,,,329,6300,-84,-17,,,4G,,,,350,100,-85,-7,,,4G,,,,233,100,-92,-14,,,4G,,,,82,1404,-99,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.16.11.071,16.4611406,50.09148156,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-88,-8,12.0,-,-62,1404,0,0,458,452,450,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,4,,,,,102,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,7,18,,,,,,,,,4G,,,,82,1404,-104,-20,,,2G,,,,,74,-113,,,,2G,,,,,72,-113,,,,2G,,,,,71,-113,,,,2G,,,,,69,-113,,,,2G,,,,,67,-113,,,,2G,,,,,65,-113,,,,2G,,,,,64,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.16.28.051,16.46098936,50.09127305,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-80,-13,14.0,-,-49,1404,0,0,458,451,449,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,3,,,,,118,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,3,14,,,,,,,,,4G,,,,329,6300,-83,-17,,,4G,,,,195,6300,-83,-16,,,4G,,,,203,6300,-85,-19,,,4G,,,,350,100,-89,-16,,,4G,,,,233,100,-99,-20,,,4G,,,,82,1404,-102,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.16.45.058,16.46077899,50.09108279,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-84,-11,12.0,-,-55,1404,0,0,458,449,447,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,3,,,,,134,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,9,5,,,,,,,,,4G,,,,195,6300,-88,-12,,,4G,,,,203,6300,-89,-16,,,4G,,,,329,6300,-90,-16,,,4G,,,,350,100,-91,-13,,,4G,,,,82,1404,-95,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.17.19.042,16.46043598,50.09114984,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-86,-13,12.0,-,-55,1404,0,0,458,446,444,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,3,,,,,167,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,2,18,,,,,,,,,4G,,,,485,1404,-92,-15,,,4G,,,,82,1404,-100,-20,,,2G,,,,,74,-113,,,,2G,,,,,72,-113,,,,2G,,,,,71,-113,,,,2G,,,,,69,-113,,,,2G,,,,,67,-113,,,,2G,,,,,65,-113,,,,2G,,,,,64,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.17.36.062,16.46036614,50.09138338,5,O2.CZ,23002,2.3002E+14,,923802,100,1623,4G,4G,-87,-14,12.0,-,-55,1404,0,0,458,446,444,3,G,I,,,,,,,,,,,M,,1,,,-1,1000,10.135.194.96,3,,,,,183,64,E189A,657,236493412,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,15/10/20,,,,,,,,,,1000,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,8,34,,,,,,,,,4G,,,,485,1404,-88,-15,,,2G,,,,,74,-113,,,,2G,,,,,72,-113,,,,2G,,,,,71,-113,,,,2G,,,,,69,-113,,,,2G,,,,,67,-113,,,,2G,,,,,65,-113,,,,2G,,,,,64,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
