Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_RSRP,CSI_RSRQ,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,NRSTATE,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,R3,R4,R5,R6,R7,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,Column1
2026.04.25_18.14.26.674,16.46220979,50.09236455,0,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-86,-19,6,-,-47,1579,-1,-1,224,470,468,10,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,LOG START,,,,2,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,PRAVDA,0,1,0,,,,,,,,,4G,,,,261,6200,-85,-14,,,4G,,,,228,1579,-89,-17,,,4G,,,,311,6200,-90,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.02.057,16.46188269,50.09226137,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-82,-10,5,-,-52,1579,-1,-1,224,455,453,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,36,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,1,28,,,,,,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.20.046,16.4616248,50.0921001,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-85,-20,5,-,-45,1579,-1,-1,224,454,452,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,53,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,8,45,,,,,,,,,4G,,,,228,1579,-87,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.38.054,16.46142789,50.09190658,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-88,-17,5,-,-51,1579,-1,-1,224,455,453,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,70,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,5,62,,,,,,,,,4G,,,,228,1579,-90,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.15.54.053,16.46128649,50.09169695,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-86,-18,5,-,-48,1579,-1,-1,224,453,451,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,85,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,0,77,,,,,,,,,4G,,,,228,1579,-100,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.16.11.071,16.4611406,50.09148156,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-88,-17,5,-,-51,1579,-1,-1,224,452,450,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,102,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,7,94,,,,,,,,,4G,,,,228,1579,-99,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.16.28.051,16.46098936,50.09127305,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-85,-17,5,-,-48,1579,-1,-1,224,451,449,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,118,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,3,110,,,,,,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.16.45.058,16.46077899,50.09108279,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-88,-15,5,-,-53,1579,-1,-1,224,449,447,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,134,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,9,126,,,,,,,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.17.19.042,16.46043598,50.09114984,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-85,-17,5,-,-48,1579,-1,-1,224,446,444,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,167,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,2,159,,,,,,,,,4G,,,,154,1579,-93,-20,,,4G,,,,228,1579,-93,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026.04.25_18.17.36.062,16.46036614,50.09138338,5,T-Mobile_CZ,23002,2.30E+14,,923802,21,13630,4G,4G,-88,-20,5,-,-48,1579,-1,-1,224,446,444,3,G,I,,,,,,,,,,,,,1,,,-1,1000,,4,,,,,183,15,E189A,353E,236493333,33.3,631,Xiaomi:23113RKC6G:BP2A.250605.031.A3,L3,20.X,,,,,,,,,,13,PRAVDA,,,,1000,99,NEPRAVDA,,NEPRAVDA,0,8,175,,,,,,,,,4G,,,,154,1579,-87,-15,,,4G,,,,228,1579,-91,-20,,,2G,,,,,22,-113,,,,2G,,,,,21,-113,,,,2G,,,,,20,-113,,,,2G,,,,,14,-113,,,,2G,,,,,12,-113,,,,2G,,,,,47,-113,,,,2G,,,,,46,-113,,,,2G,,,,,45,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
